Course	Room	Teacher	Time	Days	Students
1	20	8	(0, 2)	MW	2 6 9 10 11 20 21 26 29 32 33 34 40 43 46 48 50 53 56 59 61 63 67 68 69 71 77 79 80 84 85 87 88 92 100
2	1	6	(10, 11)	MW	3 9 11 15 18 20 21 26 28 33 45 47 54 55 57
3	12	4	(3, 4)	MWF	19 20 22 25 26 28 32 35 43 49 51 56 57 62 65 67 68 71 72 74 77 84 89 92 97 98 100
4	14	3	(0, 1)	MWF	1 3 12 13 14 15 17 19 23 24 25 30 31 36 37 44 45 51 58 62 65 72 78 89 90 95 96 97 99
5	9	10	(10, 13)	MW	1 2 7 10 14 22 25 27 30 35 36 37 40 41 61 63 64 66 70 71 73 74 76 77 78 80 81 82 83 87 93 94 96 98
6	1	2	(6, 9)	M	5 6 11 13 16 17 19 24 27 28 29 32 34 35 37
7	1	9	(0, 2)	MW	4 5 8 18 22 28 38 39 41 42 47 49 52 54 55
8	20	1	(3, 4)	MWF	3 5 8 12 14 24 30 36 38 40 42 55 58 63 66 75 78 81 82 90 94 99
9	1	7	(3, 5)	MW	2 4 6 7 13 17 18 23 29 44 46 50 52 53 54
10	9	5	(3, 5)	MWF	1 9 10 11 15 16 21 27 31 33 34 37 39 41 47 48 59 60 61 69 73 76 79 80 85 86 87 91
