Course	Room	Teacher	Time	Days	Students
1	13	40	(4, 6)	MWF	60 61 79 83
2	1	11	(12, 13)	MWF	10 12 19 79 82 86 91
3	18	30	(0, 1)	MW	7 29 31 39 58 83 100
4	11	37	(2, 5)	MW	31 91 95
5	2	22	(0, 2)	MW	20 21 22 69 82
6	25	43	(3, 4)	MW	51 98
7	7	24	(0, 1)	MWF	13 41 62 64 70
8	22	29	(12, 13)	MWF	6 31 42 45 54 61 62
9	5	13	(6, 7)	MW	18 20 36 52 62 76
10	22	47	(4, 6)	MW	9 34 37 57 77
11	1	2	(0, 1)	MWF	37 46 50 57 71 89 96
12	12	39	(4, 6)	MW	14 47 81 84
13	5	9	(0, 3)	M	1 67 85
14	1	45	(6, 8)	TTH	8 21 26 27 57 71 75 76 80 85 88
15	1	28	(8, 11)	MW	8 17 18 32 39 43
16	1	23	(0, 2)	TTH	9 35 53 58 79 86 91
17	4	42	(6, 8)	MW	53 64 93
18	3	44	(2, 3)	MW	14 40 42 60 68 71 87
19	3	25	(4, 6)	MWF	10 30 35 40 63 74 86
20	14	50	(6, 8)	MW	45 67 73
21	10	32	(4, 7)	MW	15 38 80 97
22	1	5	(6, 7)	MWF	16 28 46 66 72 75 78 89
23	1	16	(3, 5)	TTH	3 23 25 34 39 47 71 93 96 100
24	1	7	(2, 3)	MWF	10 15 34 37 38 58 63 65 72 73 80 89 92
25	4	19	(9, 11)	MWF	14 16 24 30 37 64
26	11	49	(6, 8)	MW	3 48 70 98
27	3	35	(9, 12)	MW	7 44 53 63 90 96 99 100
28	1	15	(9, 12)	TTH	3 5 13 17 29 48 54 69 94
29	22	8	(0, 1)	MWF	6 36 47 48 52 56
30	16	3	(4, 7)	M	1 44 87
31	23	46	(2, 5)	M	18 24 29 36 49 56
32	10	21	(0, 2)	MWF	11 35 51 66
33	6	38	(4, 5)	MWF	11 12 22 28 52 78 99
34	23	36	(10, 11)	MWF	23 41 50 51 56 68 75 83
35	4	27	(2, 5)	MW	6 25 43 46 55
36	23	34	(0, 1)	MWF	2 30 32 59 74 78 87
37	12	4	(0, 2)	MWF	61
38	6	33	(0, 2)	MW	8 98
39	11	12	(0, 1)	MWF	26 33 43 54 84 92 94
40	14	1	(2, 5)	MW	33 50
41	22	48	(9, 11)	MW	25 27 34 65 74 77 82
42	4	17	(0, 2)	TTH	12 45 56 76
43	24	6	(2, 5)	M	5 17 53 59 70 93
44	3	18	(0, 1)	MW	4 9 15 18 19 42 55 65 73
45	1	14	(4, 5)	MWF	4 13 26 54 65
46	23	31	(6, 9)	M	2 11 23 42 68 85
47	22	10	(7, 8)	MWF	5 7 27 50 90
48	22	41	(2, 3)	MWF	3 19 100
49	13	26	(2, 3)	MWF	4 12 57 77 78 84 88 90 94
50	13	20	(0, 1)	MWF	16 38 75 81 88 97
