Course	Room	Teacher	Time	Days	Students
1	12	40	(0, 2)	MW	25 46 90 93
2	9	6	(0, 1)	MWF	4 12 45 81
3	10	50	(0, 2)	MW	1 7 17 24 52 94
4	19	19	(0, 1)	MWF	3 50 95 97
5	4	21	(2, 3)	MWF	67 71 92
6	10	2	(6, 7)	MWF	1 5 15 33 42 52 61 95 98
7	6	47	(0, 2)	MWF	18 57 87
8	29	32	(0, 1)	MWF	15 56 75 77
9	14	24	(0, 1)	MWF	2 19 34 51 54 58 67 92
10	5	34	(0, 1)	MWF	16 30 100
11	2	44	(0, 1)	MWF	32 62 84
12	13	46	(2, 4)	MW	8 34 97
13	1	22	(3, 5)	TTH	1 72 73 81 90 94 95 100
14	2	41	(2, 4)	MWF	20 64 98
15	1	26	(10, 12)	MW	13 22 35 38 39 57 66 79
16	23	25	(2, 4)	MW	3 12 26 42 65 75 100
17	21	38	(0, 2)	MW	6 40 55
18	7	49	(0, 1)	MWF	27 63
19	18	4	(0, 2)	MW	11 28
20	1	29	(6, 8)	TTH	23 25 26 47 75 81 88 97
21	4	5	(5, 7)	MW	6 19 43 64 68 86 91 92 99
22	1	13	(6, 7)	MWF	2 7 8 10 20 24 53 67 72
23	28	42	(0, 1)	MWF	41 69 73 78
24	14	9	(2, 4)	MW	13 14 22 61 88
25	22	16	(3, 4)	MWF	24 46 66 73
26	1	15	(0, 2)	TTH	25 28 30 40 53 70 72 73 80 83 87 95
27	25	35	(3, 4)	MW	1 33 41 58 77 79 87
28	15	31	(4, 6)	MWF	39
29	1	20	(12, 14)	TTH	14 31 32 48
30	3	36	(0, 1)	MWF	21 74 86 88
31	13	28	(5, 8)	MW	14 22 29 30 56 80
32	29	8	(2, 3)	MWF	5 82 83
33	23	43	(0, 1)	MWF	5 8 22 35 82 85
34	1	10	(8, 9)	MWF	6 11 15 18 20 23 31 44 51 53 69 89
35	27	27	(3, 6)	M	38 45 59 60
36	1	30	(10, 11)	TTHF	15 40 55 71 74 80 97
37	26	48	(0, 1)	MW	39 61
38	20	17	(0, 1)	MWF	26 53 66 99
39	30	45	(2, 4)	MW	4 37 56 69 78 81 96
40	11	1	(0, 1)	MWF	13 42 44 89 96
41	1	14	(3, 5)	MWF	2 11 17 25 93
42	28	23	(2, 3)	MWF	35 36 91 99
43	22	33	(0, 1)	MWF	10 43 59 60
44	1	11	(13, 14)	MWF	28 32 36 47 70 76 82 83 89
45	30	39	(0, 1)	MWF	29 37 64 65 70
46	15	12	(2, 3)	MWF	27 47 49 63 68
47	1	7	(0, 2)	MWF	9 31 48 79
48	24	37	(2, 3)	MW	44 51 76 84 85
49	8	18	(3, 5)	MW	9 21 31 50 70 72 74 89 90
50	9	3	(2, 3)	MWF	23 54 62 80
