Course	Room	Teacher	Time	Days	Students
1	1	22	(7, 8)	TTHF	1 10 18 32 38 59 61
2	15	41	(0, 2)	MWF	14 26 52 53 74
3	7	49	(8, 11)	TTH	48 49 54 64 99
4	20	25	(5, 7)	MW	17 47 58 89 97
5	1	20	(0, 2)	TTH	16 50 54 55 69 72 87 91 100
6	6	46	(7, 8)	MWF	33 43 70 75 76 79 83
7	16	16	(0, 1)	TTHF	13 78
8	16	29	(6, 9)	MW	6 29 71 99
9	1	21	(12, 13)	TTHF	2 12 38 41 47 53 79
10	2	40	(0, 2)	MW	4 5 40 49 64 89 97
11	3	12	(0, 3)	MW	11 90
12	8	11	(0, 3)	MW	35 68
13	16	30	(0, 1)	MW	9 33 59 61
14	6	19	(5, 6)	MWF	41 51 90
15	26	44	(3, 4)	MW	4 29 52 62 69 80 88 93
16	15	7	(5, 6)	MWF	23 27 34 52 57 65 78 85 98
17	7	18	(5, 7)	TTHF	8 48 84 89 100
18	7	17	(0, 2)	MWF	1 18 20 24 43 55 57 63 65 66 77 82 84 87 91
19	6	14	(0, 2)	MW	10 16 19 36 46 48 56 96
20	1	5	(9, 11)	TTH	24 27 37 68 90 92
21	1	9	(7, 9)	MW	11 13 14 16 42 52 56 96
22	1	1	(0, 2)	MW	13 21 31 51 95
23	27	48	(0, 1)	MWF	3 29 60 62 70 79
24	15	26	(7, 8)	MW	10 12 18 66 73 74
25	20	4	(8, 9)	MWF	20 50 54 55 62
26	15	24	(9, 10)	MW	8 15 22 28 45 74 93
27	29	43	(6, 7)	MWF	5 35 39 81 82 92
28	1	33	(3, 6)	T	24 31 43 53 70 73 76 81 88
29	16	8	(10, 13)	MW	21 39 48 65 68 78 88
30	15	13	(3, 4)	MW	21 26 30 31 36 45 49 77 82
31	4	34	(0, 1)	MWF	2 7 99
32	7	42	(3, 4)	MWF	9 12 14 16 27 47
33	1	28	(5, 6)	MW	22 50 53 56 70 83
34	1	31	(10, 11)	MWF	23 37 38 64 67 69 77 84 85
35	20	38	(3, 4)	MWF	22 50 56 83 86
36	1	45	(12, 14)	MW	2 17 38 49 51 64 97
37	28	39	(5, 8)	MW	7 9 19 28 40 44 45 59 60 67 86
38	20	35	(0, 2)	MW	8 23 54 69 71 75 80 85 92
39	28	37	(0, 2)	MWF	15 25 28 30 42 44 72 86 94 100
40	5	10	(0, 2)	MW	6 39 47 81 93 98
41	16	2	(2, 5)	MW	3
42	7	32	(5, 7)	MW	15 88 94
43	29	27	(3, 5)	MW	32 42 72 75 81 96 99
44	25	15	(3, 4)	MW	6 41 44 63 91
45	1	36	(3, 4)	MWF	1 5 7 19 23 33 40 46 71 76 84 87 92
46	6	6	(3, 4)	MWF	17 20 25 28 51 57 58 61 94 98
47	24	50	(0, 1)	MWF	34 73
48	27	23	(5, 6)	MWF	25 37 76
49	7	3	(9, 12)	MW	3 7 32 35 36 43
50	22	47	(3, 5)	MW	13 95
