Students	100
1	13	30	11	4
2	46	36	32	22
3	26	48	28	23
4	44	45	37	49
5	28	47	43	30
6	8	29	35	38
7	47	3	27	25
8	15	14	38	26
9	10	44	16	30
10	19	45	24	2
11	33	46	32	10
12	42	2	33	49
13	45	7	37	28
14	25	27	12	18
15	21	44	31	24
16	22	25	50	26
17	28	15	43	37
18	44	15	9	31
19	44	2	7	48
20	5	9	50	10
21	14	5	4	3
22	33	5	48	11
23	46	34	23	1
24	31	25	48	1
25	35	23	31	41
26	39	14	45	3
27	47	41	14	15
28	22	1	19	33
29	3	28	31	4
30	19	1	36	25
31	3	7	4	8
32	36	15	44	26
33	40	39	50	30
34	24	41	10	23
35	19	12	16	32
36	31	10	9	29
37	11	10	24	25
38	24	21	50	11
39	3	44	15	23
40	18	4	24	19
41	7	34	11	3
42	44	18	46	8
43	39	15	25	35
44	30	45	27	22
45	20	8	19	42
46	22	11	29	35
47	12	29	26	23
48	26	29	13	28
49	31	18	43	32
50	40	34	11	47
51	32	29	6	34
52	29	9	33	37
53	43	27	16	17
54	39	8	28	45
55	35	44	40	29
56	29	42	34	31
57	11	49	10	14
58	24	16	13	3
59	43	12	36	39
60	1	18	31	20
61	8	1	37	22
62	9	8	7	27
63	27	19	24	32
64	25	7	17	47
65	41	44	45	24
66	32	50	48	22
67	20	10	13	35
68	46	25	18	34
69	5	28	48	31
70	7	36	43	26
71	23	14	18	11
72	24	22	17	10
73	24	44	31	20
74	41	19	36	43
75	34	50	22	14
76	9	17	42	14
77	49	41	10	32
78	49	36	22	33
79	1	2	4	16
80	21	14	24	48
81	12	6	9	50
82	41	5	50	2
83	3	34	38	1
84	49	39	18	12
85	14	46	30	13
86	16	2	19	46
87	36	18	43	30
88	50	49	14	31
89	22	24	46	11
90	49	27	13	47
91	16	4	49	2
92	39	29	11	24
93	23	17	47	43
94	49	5	39	28
95	4	45	48	37
96	23	11	13	27
97	50	21	30	1
98	26	6	38	17
99	33	27	41	4
100	27	48	23	3
