Students	100
1	1	23	32	15
2	23	12	38	19
3	10	1	7	48
4	16	41	30	39
5	18	29	7	45
6	38	47	32	21
7	44	33	17	35
8	20	32	28	31
9	45	31	50	41
10	18	25	2	21
11	50	31	8	40
12	46	23	36	43
13	30	21	31	6
14	46	38	15	42
15	21	47	8	24
16	12	33	32	4
17	3	47	21	4
18	11	2	8	16
19	14	38	43	4
20	14	27	11	17
21	20	35	21	23
22	6	16	4	28
23	35	48	11	13
24	47	33	32	23
25	11	19	21	20
26	15	42	16	6
27	27	11	1	16
28	7	18	14	40
29	10	12	39	5
30	10	22	49	50
31	32	36	9	7
32	46	32	48	47
33	19	22	44	37
34	27	49	26	9
35	42	22	50	7
36	1	49	6	8
37	16	19	10	29
38	41	18	16	44
39	47	4	32	27
40	18	3	43	10
41	20	11	22	26
42	27	3	5	11
43	50	42	43	8
44	30	22	41	35
45	46	35	34	30
46	10	24	40	34
47	23	18	22	43
48	32	17	43	20
49	41	18	23	38
50	47	33	12	36
51	26	16	10	13
52	11	5	8	30
53	46	13	47	40
54	49	24	50	8
55	29	41	15	36
56	2	37	8	30
57	21	22	29	24
58	47	7	13	43
59	37	1	25	31
60	22	25	23	34
61	34	20	35	18
62	25	13	36	27
63	10	46	50	38
64	26	8	17	19
65	44	3	17	9
66	1	47	39	4
67	26	19	1	27
68	30	32	45	41
69	44	3	27	32
70	13	2	26	1
71	19	39	17	35
72	3	14	10	25
73	38	34	25	43
74	47	33	15	24
75	15	41	33	32
76	31	9	48	33
77	50	36	15	47
78	20	14	42	34
79	35	34	21	10
80	2	46	32	41
81	41	18	33	23
82	15	44	18	35
83	48	27	26	9
84	10	19	29	1
85	47	29	46	18
86	29	27	50	19
87	24	12	42	6
88	17	22	46	21
89	40	38	36	41
90	31	37	50	12
91	43	37	13	40
92	13	3	7	2
93	20	10	11	21
94	18	2	25	13
95	44	47	19	21
96	2	27	17	30
97	35	14	10	40
98	33	43	18	10
99	23	50	14	47
100	33	17	29	24
