Course	Room	Teacher	Time	Days	Students
1	1	54	(7, 8)	MWF	10 29 56 89
2	30	70	(0, 2)	MW	18 97
3	4	66	(8, 10)	MW	54 64
4	3	34	(6, 9)	MW	81
5	1	18	(13, 14)	TTH	11 37 56 74 98
6	28	72	(3, 6)	MW	38
7	22	23	(0, 2)	MW	4 91 96
8	24	78	(5, 7)	MW	8 26 40 50 73 87
9	1	56	(5, 7)	TTH	35 39 60 94 98
10	2	33	(2, 4)	TTHF	9 38 52 63 67 99
11	24	83	(2, 4)	MWF	40 53 65 77 80
12	13	95	(7, 9)	MWF	
13	2	36	(6, 8)	MW	80
14	19	71	(5, 7)	MW	19 22 44 85
15	14	97	(5, 6)	MWF	65 93
16	19	76	(11, 14)	M	5 85 91 98
17	23	100	(0, 2)	MW	22 76 89
18	1	5	(8, 9)	TTH	4 7 42 99
19	1	67	(9, 10)	MWF	6 14 18 48
20	3	45	(0, 2)	MWF	11 54 78
21	5	25	(6, 8)	MW	7 12 17 68 69 83
22	2	50	(13, 14)	MWF	8 74
23	21	7	(0, 2)	MW	10 24 27 29 33 42
24	1	46	(11, 12)	TTHF	7 20 46 72 85 86 96
25	6	21	(5, 6)	MWF	4 5
26	24	48	(10, 12)	MWF	13 42 51 63 69
27	19	55	(3, 4)	MWF	21 28 76 89
28	2	89	(13, 14)	TTH	20 41 91
29	13	53	(0, 2)	MW	16 41 50 55 64
30	27	80	(3, 5)	MWF	32
31	30	42	(3, 5)	MW	51 90
32	18	93	(0, 2)	MW	2 13 95
33	2	10	(5, 7)	TTHF	9 20 83
34	7	4	(2, 4)	MWF	
35	2	96	(3, 5)	MW	11 54
36	12	13	(3, 4)	MWF	71 97
37	5	63	(0, 3)	MW	17 56 66 68
38	20	62	(3, 5)	MWF	95
39	23	60	(3, 6)	M	24 41
40	24	91	(0, 1)	MWF	28 35 51 53 61
41	18	58	(8, 10)	MWF	47 95
42	28	31	(0, 1)	MWF	39
43	23	57	(11, 14)	M	14 52 60 68 79 90
44	10	59	(3, 6)	MW	48 58
45	3	20	(3, 5)	MWF	15 39 72
46	2	24	(0, 1)	MWF	9 26 45
47	9	69	(3, 4)	MW	30 94
48	15	26	(0, 2)	MWF	47
49	6	51	(0, 1)	MWF	19 40
50	2	22	(8, 9)	TTHF	15 59
51	8	49	(2, 3)	MWF	23
52	7	82	(0, 1)	MWF	57 59 73
53	14	29	(0, 1)	MWF	81
54	1	1	(0, 2)	MW	36 46 49 60 63 74
55	18	27	(11, 12)	MWF	8 78
56	2	9	(10, 12)	TTH	19 50
57	23	43	(3, 4)	TTH	35 36 96
58	18	41	(5, 7)	MWF	21
59	10	44	(0, 2)	MWF	58 82
60	23	39	(7, 10)	M	33 67
61	9	92	(0, 2)	MW	5
62	19	38	(8, 10)	MWF	8 31 77 90
63	8	37	(7, 10)	MW	38
64	4	99	(0, 2)	MW	6 7 21 93
65	2	88	(9, 12)	W	25 30 79
66	4	3	(3, 5)	MW	43
67	1	19	(11, 13)	MW	17 43 49 65 87
68	25	77	(4, 6)	MWF	1 56 66 75 79 84
69	9	47	(8, 9)	MW	42 53
70	29	2	(5, 7)	MW	76
71	20	14	(0, 1)	MWF	62
72	27	6	(7, 10)	MW	4 28 93
73	25	98	(0, 2)	MW	3 48 84
74	11	90	(3, 5)	MWF	16 61
75	18	84	(3, 4)	MWF	2 14 44 57
76	20	16	(7, 10)	M	66
77	26	68	(3, 6)	MW	25 47
78	24	8	(13, 14)	MWF	72 88 96
79	1	86	(2, 4)	TTHF	26 27 45 46 70 92
80	29	30	(0, 2)	MWF	100
81	7	94	(5, 6)	MW	57 91 99
82	5	52	(4, 5)	MWF	12 13 34 37 88
83	24	11	(5, 7)	TTHF	31 70
84	20	75	(11, 13)	MW	73 82
85	13	87	(11, 13)	MW	18 75
86	1	79	(3, 6)	MW	10 36 46 49 74 82 86
87	13	85	(5, 6)	MWF	2 28
88	1	65	(0, 1)	TTH	23 27 53 68 70
89	2	28	(9, 12)	M	3 45
90	11	74	(0, 2)	MWF	15 31 32 37 87 94
91	24	40	(8, 9)	MWF	26 44 72 85 100
92	9	61	(5, 7)	MW	18 30 59 71 98
93	19	32	(0, 2)	MW	1 12 71 75 88
94	6	81	(3, 4)	MW	3 55 60 73
95	14	12	(7, 9)	MWF	
96	12	35	(0, 2)	MW	25 67 70 83
97	14	15	(2, 4)	MW	69 92
98	26	73	(0, 2)	MW	34 52
99	4	64	(6, 7)	MWF	14 62 94
100	23	17	(0, 2)	TTH	20
