Students	5000
1	18 46 3 6
2	27 19 6 9
3	20 42 29 21
4	41 35 12 47
5	2 13 42 33
6	27 44 18 48
7	27 44 31 33
8	49 27 46 20
9	41 20 21 39
10	29 37 11 10
11	36 13 48 50
12	46 48 6 38
13	49 10 36 12
14	48 41 14 2
15	3 37 11 26
16	44 19 1 41
17	15 1 40 49
18	27 5 48 8
19	2 17 34 38
20	35 10 41 26
21	9 21 45 13
22	17 6 41 50
23	42 44 40 7
24	12 20 16 28
25	20 3 43 7
26	1 19 3 14
27	2 8 21 5
28	39 1 18 16
29	16 43 18 31
30	20 18 41 11
31	41 14 42 19
32	22 47 10 32
33	14 22 35 41
34	26 37 9 27
35	30 26 35 7
36	31 15 37 50
37	15 28 7 47
38	22 13 7 37
39	49 39 13 32
40	40 27 7 48
41	3 16 48 2
42	17 40 29 31
43	5 48 7 4
44	23 14 44 36
45	50 43 39 37
46	15 39 14 28
47	23 17 38 16
48	11 25 36 5
49	46 44 47 9
50	32 7 37 18
51	8 26 27 43
52	36 38 2 34
53	43 33 16 21
54	7 4 32 24
55	42 28 39 10
56	42 1 45 19
57	49 5 36 19
58	50 6 1 34
59	21 26 4 49
60	27 40 9 18
61	36 26 8 32
62	22 12 2 13
63	4 24 43 6
64	4 50 41 2
65	19 33 47 49
66	47 19 21 32
67	42 4 30 5
68	11 4 6 29
69	22 41 38 36
70	5 49 44 32
71	33 35 29 25
72	13 47 4 22
73	4 14 16 17
74	27 10 11 39
75	5 11 48 46
76	27 29 7 44
77	3 40 7 21
78	15 33 19 29
79	18 42 46 9
80	35 7 49 44
81	22 1 46 28
82	2 46 40 18
83	39 30 19 35
84	17 31 6 36
85	23 18 34 21
86	3 2 48 1
87	7 2 27 14
88	12 7 39 50
89	39 19 46 41
90	35 24 31 7
91	19 7 13 5
92	45 30 44 26
93	23 6 35 50
94	37 4 12 1
95	24 9 20 11
96	25 31 35 14
97	46 32 19 38
98	40 19 49 16
99	35 13 25 48
100	9 50 19 6
101	30 19 16 40
102	31 34 44 29
103	43 14 5 8
104	45 5 3 7
105	39 38 47 27
106	42 12 18 17
107	26 49 35 18
108	25 37 5 38
109	48 47 38 32
110	31 35 23 12
111	8 11 35 42
112	37 16 21 28
113	35 18 44 49
114	10 3 1 8
115	43 35 23 44
116	46 30 15 3
117	30 15 43 49
118	3 30 15 17
119	5 23 48 49
120	8 31 17 13
121	17 22 34 35
122	14 17 31 23
123	47 43 41 11
124	33 49 29 37
125	11 42 32 29
126	31 1 50 8
127	13 12 7 31
128	38 5 24 31
129	27 11 49 7
130	23 1 7 8
131	17 50 36 33
132	14 27 28 11
133	47 10 36 8
134	21 26 40 8
135	33 26 7 36
136	27 35 45 3
137	38 15 19 49
138	44 24 36 41
139	27 39 2 8
140	1 19 20 27
141	14 13 41 33
142	44 36 19 49
143	1 26 48 40
144	29 7 37 30
145	4 47 41 11
146	19 48 33 36
147	11 49 27 31
148	24 20 35 15
149	33 21 13 23
150	2 36 12 20
151	7 37 40 49
152	40 25 19 46
153	42 1 47 26
154	30 28 42 21
155	16 31 22 34
156	45 35 12 4
157	27 4 49 6
158	9 3 10 21
159	21 33 13 50
160	32 14 34 26
161	14 40 29 44
162	44 32 40 8
163	17 35 20 34
164	46 1 6 33
165	35 27 50 20
166	35 26 6 41
167	20 3 27 39
168	44 41 13 22
169	41 28 15 47
170	42 34 26 28
171	36 38 33 45
172	21 29 5 17
173	40 21 3 26
174	16 10 20 8
175	25 4 11 22
176	11 10 37 32
177	28 26 25 43
178	45 50 18 13
179	22 8 48 50
180	50 20 43 2
181	46 26 45 40
182	34 1 25 9
183	21 39 11 46
184	20 30 31 4
185	21 33 9 32
186	45 11 12 19
187	34 47 45 12
188	38 46 48 9
189	8 1 45 5
190	50 18 25 39
191	10 11 4 47
192	26 21 10 14
193	1 22 12 40
194	11 7 25 39
195	23 33 35 48
196	23 36 45 3
197	2 50 1 17
198	33 25 7 28
199	4 38 34 39
200	33 24 11 39
201	49 44 37 26
202	9 37 3 5
203	22 14 25 17
204	22 27 18 16
205	29 43 30 45
206	6 47 28 11
207	35 21 37 8
208	30 5 35 14
209	38 49 30 26
210	13 48 16 15
211	31 43 37 11
212	40 39 16 45
213	36 2 18 20
214	31 34 44 4
215	31 17 20 18
216	43 13 11 31
217	30 49 15 3
218	20 10 38 45
219	35 2 15 33
220	15 3 49 35
221	11 37 32 19
222	29 33 10 3
223	18 39 33 5
224	1 7 40 18
225	31 38 45 34
226	14 2 25 37
227	41 3 9 46
228	46 10 38 44
229	11 32 35 7
230	46 17 33 34
231	32 38 3 22
232	22 37 47 49
233	3 10 8 9
234	38 7 34 9
235	1 5 37 25
236	28 17 31 4
237	40 46 13 34
238	37 13 26 2
239	37 7 15 20
240	49 2 25 27
241	21 14 18 28
242	42 21 25 30
243	47 25 35 20
244	42 28 41 24
245	18 32 21 1
246	18 3 48 38
247	41 49 44 22
248	3 2 8 16
249	13 41 3 47
250	28 9 45 47
251	20 21 31 50
252	23 27 10 9
253	26 23 19 41
254	23 46 45 32
255	3 19 16 42
256	40 31 35 3
257	50 30 41 34
258	25 35 27 32
259	8 27 49 23
260	14 13 27 26
261	45 34 6 16
262	38 35 22 36
263	6 22 24 43
264	35 20 48 7
265	26 27 9 45
266	38 35 12 23
267	2 29 4 8
268	18 16 3 38
269	34 13 46 38
270	20 7 25 41
271	35 32 41 13
272	13 12 6 20
273	28 32 48 13
274	28 13 41 15
275	50 47 25 11
276	13 19 8 37
277	23 9 45 14
278	17 18 13 25
279	6 9 43 10
280	46 8 28 24
281	50 36 17 16
282	40 7 3 15
283	8 10 26 2
284	37 46 33 6
285	34 39 5 27
286	26 3 2 7
287	1 10 41 18
288	28 35 48 15
289	48 31 23 17
290	4 35 44 20
291	43 29 5 44
292	27 34 45 44
293	11 18 50 38
294	12 18 3 50
295	24 30 45 8
296	2 44 28 47
297	14 4 26 39
298	29 44 2 13
299	19 5 33 43
300	31 43 30 3
301	45 9 43 40
302	23 6 1 29
303	39 50 27 23
304	10 22 1 21
305	24 41 38 27
306	13 9 16 34
307	41 46 29 24
308	38 16 18 35
309	38 42 15 12
310	48 25 42 14
311	28 36 27 1
312	45 2 26 17
313	18 48 29 12
314	18 41 14 26
315	23 2 16 39
316	20 28 44 27
317	38 3 39 23
318	27 45 31 28
319	12 23 44 43
320	29 5 8 39
321	24 8 1 39
322	39 19 16 14
323	37 22 29 34
324	38 4 49 7
325	44 25 14 23
326	21 27 5 50
327	26 12 48 36
328	24 44 26 28
329	25 35 46 5
330	18 11 50 37
331	10 20 21 15
332	14 40 22 50
333	42 8 5 35
334	1 46 48 30
335	12 37 6 13
336	24 35 30 2
337	34 30 46 11
338	46 35 38 32
339	49 26 4 18
340	25 5 42 47
341	24 10 12 20
342	22 40 39 9
343	47 24 18 31
344	18 1 27 39
345	42 3 31 6
346	7 3 44 10
347	4 35 8 12
348	23 11 40 39
349	24 25 44 21
350	28 49 18 16
351	43 4 15 1
352	11 34 3 50
353	9 3 41 48
354	17 45 19 10
355	49 4 47 30
356	2 24 22 43
357	19 46 5 50
358	46 17 9 36
359	30 34 38 3
360	9 31 21 19
361	44 8 3 23
362	2 21 43 34
363	31 11 24 20
364	4 31 29 27
365	20 23 12 27
366	6 12 32 36
367	41 43 27 14
368	40 14 43 49
369	12 38 44 50
370	5 21 36 13
371	19 5 36 26
372	37 31 32 44
373	19 6 38 28
374	37 14 38 7
375	27 14 7 42
376	28 1 36 18
377	1 31 2 24
378	35 16 31 8
379	36 33 26 45
380	6 35 24 31
381	30 33 42 46
382	10 17 47 7
383	36 14 33 27
384	48 4 29 25
385	50 11 17 28
386	37 21 22 30
387	36 11 15 7
388	10 14 48 27
389	1 35 11 3
390	23 7 3 27
391	8 36 45 16
392	11 29 10 5
393	29 18 42 14
394	47 6 40 3
395	44 23 35 43
396	19 37 16 10
397	32 26 24 40
398	27 31 26 40
399	18 15 47 39
400	35 15 46 37
401	16 1 5 50
402	41 31 19 36
403	17 44 11 32
404	37 3 17 7
405	33 36 38 3
406	30 22 46 28
407	43 1 5 22
408	17 38 18 10
409	35 5 49 38
410	28 43 18 45
411	45 29 10 4
412	9 7 43 29
413	37 46 29 23
414	10 29 7 11
415	31 25 46 39
416	28 33 43 13
417	29 33 1 39
418	41 22 10 31
419	43 18 39 15
420	5 39 45 43
421	14 7 30 13
422	11 47 33 10
423	13 24 18 31
424	4 48 28 7
425	47 18 21 28
426	19 33 4 35
427	13 41 50 32
428	41 48 2 13
429	21 32 35 17
430	35 22 8 39
431	50 45 40 31
432	2 24 30 10
433	6 39 28 5
434	16 19 45 47
435	32 9 39 12
436	4 22 47 23
437	19 40 5 35
438	20 21 27 37
439	39 22 32 11
440	20 37 15 5
441	22 7 8 41
442	43 36 30 39
443	11 14 20 21
444	21 45 25 12
445	34 24 15 19
446	14 48 32 45
447	43 49 13 28
448	16 46 9 31
449	50 23 15 16
450	48 42 23 2
451	20 19 48 28
452	7 5 21 10
453	49 8 22 42
454	41 23 19 2
455	48 9 34 28
456	49 28 13 26
457	28 49 26 9
458	28 6 9 41
459	47 41 17 18
460	25 11 46 30
461	10 37 25 26
462	1 47 19 4
463	43 20 28 11
464	50 34 7 47
465	23 31 30 11
466	5 4 13 1
467	41 48 19 23
468	44 5 34 25
469	45 29 20 46
470	20 37 24 31
471	45 6 31 29
472	45 31 29 28
473	31 19 42 32
474	48 32 8 33
475	18 8 26 33
476	18 19 28 7
477	9 20 12 37
478	41 23 35 30
479	13 18 14 20
480	11 41 49 48
481	35 10 9 16
482	40 26 43 41
483	17 24 27 36
484	49 13 19 43
485	29 18 36 42
486	17 33 44 8
487	39 4 24 35
488	41 36 43 5
489	22 25 4 27
490	17 31 3 46
491	12 46 40 21
492	33 3 16 45
493	40 32 30 7
494	23 2 22 21
495	24 33 22 17
496	13 46 37 2
497	21 45 48 12
498	29 25 17 23
499	8 17 7 21
500	17 44 48 20
501	17 20 15 29
502	24 31 29 23
503	32 21 13 46
504	9 25 11 36
505	40 16 39 5
506	27 39 9 12
507	12 1 45 49
508	44 16 47 22
509	42 30 49 14
510	10 13 26 8
511	3 35 4 40
512	15 39 14 2
513	35 44 6 20
514	40 45 24 13
515	9 24 36 41
516	37 5 4 50
517	32 5 50 43
518	14 32 50 10
519	33 34 10 37
520	5 26 6 9
521	37 9 48 31
522	7 42 10 23
523	20 8 21 31
524	32 31 12 37
525	9 36 43 6
526	34 20 46 3
527	20 28 12 15
528	22 43 32 15
529	29 21 39 41
530	38 3 15 30
531	15 19 11 14
532	23 15 17 1
533	33 11 31 20
534	11 5 22 42
535	48 14 41 16
536	8 2 43 50
537	3 1 8 43
538	43 22 28 14
539	22 27 33 10
540	8 33 10 1
541	14 10 30 37
542	36 34 42 18
543	1 32 7 35
544	7 5 14 2
545	6 40 17 35
546	12 46 4 13
547	4 32 27 13
548	41 1 7 32
549	21 25 32 40
550	48 7 43 3
551	4 8 2 16
552	22 5 19 39
553	47 29 27 37
554	37 31 15 34
555	3 23 30 16
556	20 14 40 46
557	1 9 29 20
558	7 33 50 3
559	13 3 37 43
560	14 49 22 39
561	26 17 24 3
562	32 33 8 24
563	40 31 39 22
564	46 7 17 27
565	37 45 4 1
566	18 49 26 40
567	21 17 25 30
