Students	10000
1	20 40 47 49
2	12 41 49 39
3	1 47 35 4
4	31 5 37 32
5	37 5 27 48
6	28 46 19 10
7	39 48 49 3
8	4 47 41 9
9	7 36 40 20
10	32 30 9 49
11	43 49 12 7
12	41 25 35 6
13	4 38 14 29
14	14 29 27 48
15	35 40 4 39
16	44 21 15 12
17	24 3 17 7
18	28 25 45 17
19	41 13 46 50
20	43 34 31 15
21	17 5 26 14
22	30 49 29 41
23	35 43 14 10
24	42 24 11 50
25	19 21 36 20
26	30 25 49 19
27	11 5 25 20
28	31 12 42 25
29	47 18 21 19
30	13 25 27 35
31	3 10 33 25
32	3 38 42 24
33	32 26 17 30
34	19 38 11 29
35	32 50 14 8
36	25 49 16 6
37	31 44 42 4
38	15 47 12 40
39	28 11 48 3
40	33 32 39 41
41	14 4 34 41
42	15 4 48 39
43	43 13 49 7
44	24 20 11 19
45	46 50 13 28
46	12 15 22 27
47	12 20 1 5
48	34 8 14 42
49	27 17 37 7
50	14 46 28 43
51	8 40 17 16
52	5 7 45 20
53	44 4 38 28
54	25 42 22 26
55	48 47 33 6
56	26 46 13 9
57	39 11 41 47
58	26 11 28 27
59	41 1 44 20
60	5 38 29 26
61	28 16 21 4
62	16 18 50 28
63	6 38 43 40
64	28 8 5 4
65	22 30 28 11
66	41 31 49 7
67	49 6 43 35
68	29 26 13 36
69	25 11 46 50
70	11 2 35 39
71	43 6 48 38
72	26 21 16 39
73	36 42 3 49
74	14 9 50 20
75	40 29 21 11
76	31 50 49 43
77	25 38 3 44
78	18 46 13 35
79	35 22 38 47
80	35 12 33 39
81	44 24 29 28
82	12 32 1 29
83	4 24 34 25
84	40 7 32 22
85	20 4 19 34
86	24 23 13 46
87	22 29 2 48
88	41 13 48 10
89	39 5 16 22
90	21 11 24 50
91	48 38 45 5
92	24 46 14 5
93	16 21 31 12
94	5 27 26 11
95	44 32 11 49
96	21 14 17 23
97	27 43 30 42
98	33 25 30 27
99	4 28 5 48
100	21 12 16 46
101	33 41 49 50
102	2 4 50 16
103	34 1 12 35
104	12 10 41 32
105	10 5 17 40
106	21 38 25 41
107	22 1 2 19
108	20 38 28 48
109	46 5 37 31
110	6 34 35 41
111	15 16 24 44
112	29 20 27 9
113	33 32 37 47
114	34 30 47 43
115	37 12 34 4
116	27 39 17 15
117	21 50 39 10
118	38 31 1 18
119	28 25 35 3
120	23 20 7 29
121	36 22 7 11
122	43 24 9 50
123	43 40 32 33
124	44 16 20 45
125	27 12 2 22
126	35 48 2 3
127	27 8 47 37
128	38 17 9 13
129	9 5 41 40
130	7 42 35 5
131	42 6 29 39
132	27 31 45 5
133	25 19 50 13
134	21 43 23 11
135	47 4 26 38
136	17 42 20 33
137	39 20 34 25
138	36 13 27 7
139	42 14 43 50
140	2 26 32 28
141	4 23 47 43
142	12 38 48 4
143	17 25 15 50
144	25 4 39 14
145	26 19 35 22
146	10 34 43 6
147	39 30 21 35
148	35 38 41 43
149	4 9 21 15
150	37 28 42 45
151	29 7 10 39
152	19 32 21 44
153	21 44 28 18
154	49 3 29 14
155	10 37 40 25
156	7 50 26 46
157	1 5 28 3
158	22 3 24 38
159	33 34 29 37
160	32 2 17 37
161	25 23 31 13
162	12 36 41 37
163	9 46 10 44
164	13 25 35 12
165	23 47 39 41
166	1 17 50 15
167	19 25 22 16
168	49 28 33 31
169	49 26 48 37
170	13 49 38 26
171	50 43 28 48
172	9 7 17 1
173	4 45 3 19
174	40 23 17 42
175	37 5 43 19
176	26 1 32 14
177	23 37 49 9
178	22 42 19 48
179	39 46 2 49
180	17 43 25 34
181	21 31 43 41
182	14 32 29 3
183	33 17 42 26
184	20 12 40 11
185	30 39 7 40
186	25 13 44 35
187	33 27 45 23
188	16 18 27 28
189	13 34 10 27
190	23 13 2 14
191	14 38 30 17
192	28 34 41 45
193	33 7 25 3
194	20 42 14 39
195	30 21 23 46
196	24 40 5 29
197	11 5 39 18
198	21 34 10 7
199	41 11 33 28
200	8 39 14 37
201	49 21 26 40
202	43 11 24 23
203	28 4 42 9
204	39 7 23 21
205	38 39 45 42
206	36 16 32 19
207	32 18 50 31
208	35 1 4 6
209	35 6 20 15
210	12 42 22 4
211	47 14 25 22
212	46 11 35 34
213	11 17 31 12
214	37 25 27 6
215	2 22 10 16
216	17 31 49 27
217	35 40 49 14
218	34 41 44 38
219	15 43 20 2
220	20 23 5 33
221	26 23 7 2
222	39 29 7 50
223	3 46 34 41
224	45 50 24 27
225	7 27 11 48
226	20 35 47 38
227	8 27 44 17
228	13 22 41 42
229	15 2 8 9
230	19 32 11 37
231	40 23 45 47
232	2 10 46 11
233	11 45 19 15
234	16 39 22 37
235	9 37 40 5
236	19 18 15 27
237	10 28 50 40
238	3 7 9 28
239	25 19 27 15
240	40 16 33 9
241	43 14 48 20
242	2 46 14 24
243	32 34 12 20
244	4 36 22 12
245	26 20 1 22
246	12 1 24 18
247	29 27 21 24
248	31 7 49 10
249	33 29 15 21
250	6 19 9 26
251	48 13 3 1
252	35 36 24 40
253	39 24 41 5
254	25 46 38 49
255	48 47 34 12
256	34 23 11 50
257	36 22 31 40
258	39 3 12 37
259	31 9 25 7
260	3 45 23 38
261	15 46 5 16
262	4 35 49 18
263	35 12 46 10
264	13 43 3 14
265	12 1 47 31
266	48 22 46 13
267	17 36 43 31
268	22 13 33 32
269	31 44 35 24
270	47 35 17 29
271	6 25 7 37
272	43 38 41 10
273	43 16 2 8
274	18 8 45 40
275	27 1 25 50
276	18 7 22 8
277	6 23 5 46
278	34 47 2 13
279	18 35 42 14
280	25 18 1 22
281	50 47 1 14
282	19 12 2 40
283	20 33 35 42
284	2 33 41 18
285	27 48 39 32
286	39 18 33 34
287	28 33 38 23
288	22 16 17 37
289	50 10 25 13
290	17 10 4 45
291	13 26 1 35
292	48 14 20 30
293	13 33 30 41
294	32 17 11 34
295	25 8 43 46
296	21 3 44 31
297	25 2 5 11
298	2 46 5 20
299	6 15 16 17
300	14 45 3 37
301	30 8 36 21
302	49 29 31 32
303	23 11 22 16
304	29 32 46 21
305	1 21 14 8
306	9 21 43 41
307	11 4 15 24
308	44 5 15 41
309	20 37 21 5
310	40 36 19 35
311	29 16 41 12
312	2 21 31 7
313	13 33 8 15
314	40 2 35 15
315	26 32 20 40
316	40 39 16 47
317	15 5 8 31
318	8 14 45 16
319	22 44 24 25
320	42 6 8 27
321	34 11 20 1
322	32 2 39 8
323	28 23 13 10
324	48 19 43 28
325	27 41 11 39
326	16 29 40 13
327	2 18 19 3
328	27 12 6 20
329	4 16 11 15
330	10 13 39 23
331	39 48 43 34
332	46 10 30 15
333	9 43 36 50
334	9 6 20 21
335	37 11 19 27
336	38 47 30 33
337	45 2 6 19
338	44 22 48 49
339	34 14 3 4
340	8 43 36 39
341	24 7 8 39
342	5 26 19 28
343	47 12 10 44
344	5 29 7 10
345	10 7 19 28
346	29 11 34 30
347	10 3 24 35
348	18 27 44 47
349	8 29 22 43
350	48 25 47 19
351	15 44 5 21
352	42 31 23 15
353	48 41 6 8
354	35 34 31 9
355	32 25 24 21
356	40 7 43 50
357	38 28 40 34
358	9 16 4 32
359	49 44 39 26
360	42 47 7 27
361	5 23 47 49
362	47 5 22 36
363	6 29 27 42
364	6 21 33 23
365	27 17 26 20
366	38 25 31 23
367	32 13 35 42
368	4 29 2 42
369	10 36 32 6
370	24 50 12 19
371	36 14 24 15
372	18 47 41 3
373	26 2 25 20
374	8 13 36 23
375	35 38 36 30
376	40 44 38 22
377	29 12 27 34
378	21 15 14 8
379	16 1 19 31
380	2 50 9 48
381	5 13 20 25
382	49 26 33 25
383	29 10 15 46
384	31 42 6 28
385	10 44 9 2
386	17 19 5 9
387	14 30 36 24
388	4 29 25 33
389	24 13 38 14
390	8 12 32 40
391	5 35 32 9
392	28 1 18 22
393	11 50 2 40
394	17 27 28 30
395	19 28 23 4
396	40 38 49 14
397	19 8 25 6
398	42 49 4 40
399	9 20 29 32
400	27 38 35 31
401	45 30 42 27
402	42 50 23 11
403	35 21 28 43
404	23 20 30 40
405	15 9 22 3
406	27 8 49 48
407	4 26 11 20
408	29 2 38 46
409	44 31 9 11
410	34 7 49 9
411	47 8 34 13
412	13 38 5 30
413	7 35 32 28
414	48 26 16 28
415	38 26 18 21
416	38 39 45 43
417	7 42 47 27
418	24 26 17 25
419	24 42 16 22
420	1 22 9 35
421	5 7 41 35
422	3 19 1 28
423	1 27 25 18
424	31 5 11 28
425	3 33 13 30
426	21 2 35 40
427	25 37 41 23
428	9 16 44 47
429	10 7 46 43
430	18 39 41 7
431	28 39 32 38
