Students	100
1	50 27 41 4
2	14 29 27 8
3	17 14 41 48
4	42 20 43 29
5	43 14 39 20
6	47 44 24 42
7	8 45 28 47
8	49 12 23 25
9	18 14 28 4
10	4 2 16 28
11	5 42 32 17
12	49 12 14 2
13	25 10 1 44
14	15 23 34 14
15	8 22 11 5
16	34 9 18 47
17	19 41 3 24
18	20 7 42 15
19	33 46 25 50
20	15 1 35 19
21	7 10 45 37
22	31 21 18 48
23	17 49 45 24
24	43 44 9 15
25	14 8 43 41
26	27 17 44 5
27	1 50 46 32
28	29 44 33 36
29	48 41 18 40
30	39 15 1 44
31	34 13 44 33
32	20 33 40 12
33	27 23 34 42
34	42 23 39 27
35	28 10 34 6
36	11 14 29 23
37	47 41 38 24
38	38 27 28 45
39	42 4 44 39
40	26 44 8 35
41	16 44 32 25
42	19 5 46 38
43	13 19 45 1
44	43 29 41 9
45	21 14 44 50
46	39 11 29 31
47	27 16 13 36
48	1 20 49 31
49	33 7 21 24
50	14 9 29 21
51	41 10 28 31
52	3 16 23 21
53	48 24 42 11
54	35 16 41 11
55	46 3 7 29
56	2 5 14 8
57	10 15 1 50
58	19 36 17 24
59	49 8 14 34
60	12 16 3 50
61	45 32 30 6
62	23 36 28 44
63	34 3 9 43
64	35 44 17 41
65	41 43 49 10
66	37 11 4 2
67	21 32 10 42
68	29 34 48 26
69	9 23 41 14
70	30 19 2 4
71	35 4 26 34
72	9 38 7 13
73	33 19 4 45
74	36 4 40 38
75	50 46 14 21
76	9 8 28 26
77	35 33 27 22
78	41 25 19 30
79	33 5 4 49
80	21 46 10 43
81	16 25 47 5
82	3 23 46 30
83	5 8 42 30
84	50 44 3 15
85	33 42 10 34
86	41 9 34 49
87	41 49 25 31
88	38 33 46 15
89	22 9 16 32
90	16 46 49 42
91	45 40 7 4
92	42 13 17 50
93	38 32 26 16
94	20 34 40 14
95	14 10 42 17
96	5 43 6 37
97	4 10 48 36
98	46 47 19 11
99	3 8 6 9
100	17 1 12 4
