Class Times	5
Rooms	10
1	561
2	657
3	786
4	524
5	27
6	757
7	96
8	779
9	575
10	545
Classes	50
Teachers	25
1	18
2	14
3	10
4	17
5	24
6	5
7	23
8	7
9	21
10	5
11	10
12	19
13	20
14	22
15	2
16	23
17	24
18	15
19	21
20	22
21	12
22	19
23	8
24	1
25	6
26	6
27	2
28	18
29	16
30	9
31	8
32	13
33	25
34	12
35	20
36	9
37	13
38	7
39	3
40	25
41	3
42	1
43	11
44	15
45	16
46	11
47	17
48	14
49	4
50	4
Class Times	5
Rooms	10
1	570
2	699
3	501
4	197
5	700
6	775
7	429
8	758
9	733
10	414
Classes	50
Teachers	25
1	14
2	9
3	13
4	11
5	5
6	13
7	11
8	18
9	15
10	12
11	12
12	3
13	20
14	10
15	25
16	23
17	3
18	15
19	20
20	22
21	1
22	9
23	18
24	21
25	1
26	5
27	25
28	17
29	8
30	6
31	17
32	24
33	2
34	23
35	19
36	19
37	16
38	4
39	22
40	10
41	24
42	21
43	2
44	7
45	14
46	7
47	16
48	4
49	6
50	8
