Course	Room	Teacher	Time	Students
1	11	40	10	5 8 23 49 73 76 91
2	14	41	4	62
3	16	15	5	23 26 38 48 58 69 76
4	1	45	10	16 18 24
5	1	42	3	7 36 57 64 72 78 80 84 88
6	11	19	3	27 32 33 44 65 67 74
7	2	11	5	1 42 51 61 97 100
8	4	10	5	10 25 31 66 70 92
9	11	47	0	4 22 47 70 83
10	3	8	0	3 9 51 93
11	1	7	14	13 20 73 86
12	16	49	14	6 7 35 39 42 43 46 60 94
13	23	38	6	13 24 36 50 56 57
14	30	33	0	1 6 29 37 38 52 98
15	16	3	11	1 33 37 41 44 48 59 99
16	13	28	2	1 11 12 31 75 100
17	30	26	9	15 31 75 78 88 96
18	7	31	0	25 26 60 86
19	1	6	0	5 35 50 61 69
20	8	27	2	23 58 59 77
21	17	50	0	14 19 42 71
22	18	24	8	4 21 27
23	5	37	0	73 90 91
24	18	22	0	2 30 36 65 66 72 97
25	17	44	12	54 72 87
26	29	17	6	19 39 59 63 81
27	10	20	0	10 11 28 67 85
28	12	16	0	15 53 63 87
29	9	48	0	17 79
30	12	35	9	6 69 93
31	6	18	8	14 16 46 58 67 76 92 97 99
32	23	46	0	23 44 68 75 89 95
33	29	14	2	24 34 45 49 82
34	18	43	10	2 13 14 34 55
35	13	30	5	9 53 71
36	16	39	0	7 24 40 45 46 62 76 82 88 100
37	5	23	3	2 25 30 46 48 51 56 60 66 68 81 90
38	24	13	0	18 39 43
39	16	36	2	6 10 28 38 41 52
40	11	1	16	9 17 22 55 75 78 87 99
41	15	2	0	16 92
42	1	5	6	18 22 40 55 64
43	18	34	3	86 89 91 95 96
44	17	25	4	5 14 15 20 21 83 93 99
45	11	4	6	37 41 45 65 74 84
46	25	32	2	4 8 22 54 98
47	11	9	13	5 40 49 51 52 58 77
48	8	29	5	2 3 12 85 94
49	16	12	8	25 32 33 47 87
50	17	21	8	17 29 70 77 79 80
