Course	Room	Teacher	Time	Students
1	2	41	0	6 14 39 48 61 73 81 86 91
2	6	31	0	29 37
3	13	28	0	1 11 16 30 31 38 47 100
4	15	43	2	1 38 55 60 67 88
5	11	29	6	53 57 72 98
6	1	11	4	3 18 66 85
7	4	16	2	6 8 13 21 40 53 61 81
8	15	21	5	2 16 19 68
9	13	42	2	19 32 39 52 63
10	1	48	0	5 27 74
11	15	6	8	9 22 56 61 62 70 71 75 80
12	3	18	0	36 41 59 69 70 72 90 95
13	14	17	0	10 28 76 93
14	5	33	0	7 43 83 84
15	16	39	8	8 13 30 39 74 78 94
16	5	7	6	6 25 26 65 97
17	14	13	4	31 35 62 72 83
18	3	12	11	2 18 28 74
19	6	32	6	20 21 44 49 79
20	16	24	3	25 30 36 46 69 79 86 91 97
21	6	8	11	76 78 97
22	8	45	2	4 14 24 77
23	3	30	5	7 38 56 77 89 99 100
24	4	20	6	34 43 50 51 60 92 95
25	15	38	0	22 23 26 32 53 56 92
26	1	34	12	40 44
27	2	44	11	5 27 41 46 59 85 98
28	12	3	3	70 80
29	10	5	3	11 28 42 98
30	4	23	10	35 55 96
31	6	2	4	5 15 26 37 51 54 71 94
32	6	19	9	28 40 46 49 69 83 100
33	3	14	3	58 87 92
34	2	26	2	12 20 31 45 47 62 64 82
35	11	40	9	7 58
36	3	49	13	23 57 63 65 67 90
37	19	46	9	15 17 64 65 72 79 84
38	15	25	12	10 13 32 61 64
39	16	15	0	2 44 68
40	10	35	0	17 34 35 50 87 89
41	2	1	8	1 2 76 99
42	12	9	0	9 33
43	1	4	8	10 33 36 37 73
44	2	27	4	64 90
45	8	22	0	3 19 25 60 66 78 94 99
46	20	37	5	12 17 23 48 58 81 88
47	16	50	6	4 8 9 22 33 40 42 63 75
48	5	10	9	42 88
49	3	36	8	18 24 29 31 45 54 59 96
50	16	47	11	30 34 51 52 77 82 86
