Students	100
1	31	43	14	26
2	7	3	45	43
3	22	23	32	35
4	45	47	6	39
5	4	50	45	30
6	14	2	29	8
7	20	34	47	2
8	4	31	46	26
9	4	29	13	47
10	25	41	15	17
11	21	12	18	48
12	45	44	13	8
13	41	13	19	42
14	6	8	36	17
15	19	48	33	13
16	14	6	2	47
17	12	35	15	16
18	44	39	18	45
19	1	14	29	39
20	26	47	40	16
21	39	38	45	11
22	47	26	32	33
23	1	35	2	28
24	19	33	5	34
25	16	22	27	7
26	26	44	6	28
27	48	6	32	31
28	15	24	1	45
29	48	7	19	1
30	21	32	33	41
31	41	3	47	12
32	13	14	25	16
33	25	22	35	10
34	33	1	6	34
35	19	39	46	50
36	3	32	25	24
37	28	3	2	48
38	31	23	49	40
39	35	24	18	19
40	43	42	7	16
41	18	23	13	11
42	50	24	10	25
43	6	25	42	23
44	12	16	27	47
45	24	11	19	35
46	26	30	22	10
47	33	1	21	36
48	24	12	3	8
49	48	39	49	13
50	16	49	1	27
51	48	30	10	34
52	11	7	40	35
53	39	10	38	32
54	50	24	31	2
55	39	49	11	14
56	43	11	27	45
57	13	47	45	12
58	30	22	24	6
59	49	34	22	31
60	9	12	36	5
61	48	44	7	4
62	48	21	44	37
63	25	20	7	39
64	22	33	40	12
65	16	50	42	22
66	41	48	20	15
67	30	32	21	43
68	9	14	43	19
69	40	6	26	23
70	22	40	42	45
71	19	37	18	47
72	32	16	34	45
73	28	45	3	25
74	50	7	2	44
75	27	22	32	36
76	49	2	8	40
77	14	15	35	37
78	12	29	38	11
79	24	50	8	46
80	49	31	38	30
81	29	50	8	3
82	18	27	8	14
83	7	30	27	29
84	25	5	19	31
85	22	48	5	50
86	14	13	35	31
87	10	26	42	7
88	38	31	40	16
89	20	37	32	39
90	1	46	33	37
91	26	12	16	14
92	18	3	49	47
93	32	6	43	44
94	9	2	15	48
95	40	13	43	38
96	46	22	12	34
97	28	26	38	41
98	18	42	32	47
99	19	6	16	49
100	12	15	1	33
