Course	Room	Teacher	Time	Students
1	17	31	0	3 8 19 42 50
2	1	9	9	46 52
3	18	44	3	15 16 39
4	25	39	9	13 16 17 33 53 66
5	24	21	3	3 8 50 60
6	6	22	0	36 38 53
7	16	10	0	11 35 40
8	13	45	3	30 70
9	2	2	5	34 61 69 75
10	16	7	4	56 64
11	8	23	6	14 22 28 41 43 62
12	3	20	3	10 12 18 28 31 74
13	7	18	6	11 39 40 45 46 48 65 73
14	29	29	10	20 25 34 39 47 60
15	7	32	9	12 45 59 67 69
16	24	42	0	
17	1	34	0	
18	7	13	0	10 12 44 65
19	23	33	0	20 32 46
20	4	12	0	4 17 56 59 61 72
21	25	5	6	10 16 21 24 38
22	5	6	6	7 18 27 29 55 71
23	9	11	0	6 25 54
24	14	36	2	22 37 62 66
25	27	30	0	5 9 23 27 30 31 64
26	14	43	0	15 29 49 55 63 70
27	14	46	8	1 2 32 64
28	7	40	3	4 6 23
29	30	14	6	20
30	28	25	2	27 41 47
31	17	1	3	5 9 17
32	7	15	11	40 52 57
33	23	19	7	34 36 61 68
34	2	17	3	2 51 54 58
35	15	38	3	21 44 53 67 68 73
36	14	24	11	19 31 43 45
37	25	47	0	13 14 21 24 48
38	15	35	0	1 7 28 39 74 75
39	26	4	3	13 24 38
40	7	28	13	3 33 38 48 49 69
41	17	48	7	6 44 49 51 74
42	26	16	10	
43	1	26	3	42 61
44	20	3	0	26 52 71
45	12	8	0	33 57 68
46	14	27	5	13 19 35
47	24	37	6	26 60 72
48	16	41	11	6 22 24 59 63 73
49	30	50	3	7 14 25 43
50	29	49	6	4 8 52 58 63
