case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,100,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0518,0.0248,131,0.6725,valid
rooms_20,101,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0470,0.0303,107,0.7325,valid
rooms_40,102,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0464,0.0249,118,0.705,valid
class_times_12,103,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0410,0.0243,141,0.6475,valid
class_times_18,104,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0409,0.0248,128,0.68,valid
students_75,105,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0487,0.0254,107,0.6433,valid
students_150,106,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0478,0.0231,217,0.6383,valid
capacity_tight,107,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0405,0.0210,126,0.685,valid
capacity_large,108,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0435,0.0216,107,0.7325,valid
hours_more_short,109,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0407,0.0208,122,0.695,valid
hours_more_long,110,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0432,0.0207,118,0.705,valid
