Course	Room	Teacher	Time	Days	Students
1	1	22	(5, 8)	M	31 74 85 95
2	1	6	(0, 2)	MW	1 9 18 19 44
3	24	45	(0, 1)	MWF	3 30 49 50 78 87
4	13	25	(4, 7)	M	1 50 60
5	30	21	(3, 4)	MW	6 18 32 51 57 88
6	2	2	(2, 4)	MW	62 81 86 98
7	27	47	(4, 6)	MW	67 97
8	15	17	(4, 7)	M	23 25 29 35 39 69 94
9	29	13	(10, 11)	MW	18 37 48 55 72 91 96 98 100
10	26	27	(11, 12)	MWF	41 44 79 81 88 99
11	13	20	(10, 11)	MW	6 39 53 57 58 86 92 93
12	8	41	(8, 10)	MW	24 46 56
13	30	9	(5, 6)	MW	7 28 33 47 48
14	29	39	(0, 1)	MWF	16 28 31 47 82 98
15	30	49	(12, 14)	MW	32 42 53 64 77 78
16	2	29	(10, 11)	MWF	38 51 60 73 95 97
17	16	8	(0, 1)	MW	20 23 76 92 97 100
18	29	33	(6, 9)	MW	8 19 22 26 27 49 52 64 80 83 90 98
19	5	50	(2, 5)	M	11 55 58 90
20	13	11	(8, 9)	MW	2 3 41 58 60 70
21	30	5	(10, 11)	MW	13 16 32 40 59 67 84
22	2	1	(0, 1)	MW	11 54 55 62 67 75 77 84 94
23	24	24	(2, 3)	MW	3 5 25 29 39 49 59 65 76 82 97
24	23	23	(0, 3)	M	24 48 66 93
25	13	4	(0, 1)	MW	5 6 14 33 42 51 56
26	26	32	(2, 4)	MW	4 26 33 42 56 78 83
27	26	10	(9, 10)	MWF	1 14 44 63 82 99
28	2	43	(6, 9)	M	12 13 21 40 61 65 72
29	1	16	(9, 10)	MWF	30 35 68 77 79
30	28	44	(3, 4)	MWF	34 52 92
31	26	42	(6, 8)	TTH	45 70
32	26	26	(2, 4)	TTH	21 52 87 94
33	30	18	(0, 2)	MWF	2 38 52 96
34	13	36	(12, 13)	MWF	13 22 54 59 73 90
35	6	46	(2, 3)	MW	31
36	13	34	(2, 3)	MWF	43 54 63 67 75 77 80
37	14	38	(0, 1)	MWF	8 21 37 45 58 69 79 81 83
38	14	37	(2, 4)	MW	16 20
39	29	14	(12, 13)	MWF	11 26 28 39 46 61 63 71 85 93
40	7	48	(0, 3)	MW	40
41	9	12	(2, 4)	MW	27 28 79 87
42	26	31	(6, 8)	MW	10 14 20 30 32 38 43 53 66 71 75 88
43	1	28	(3, 4)	MW	14 91
44	28	30	(0, 2)	MW	7 22 36 41
45	23	3	(4, 5)	MWF	15 24 45 80
46	6	35	(0, 1)	MW	4 10 71 80
47	27	7	(0, 2)	MW	15 73 74 89
48	8	40	(4, 7)	MW	5 17 36 68 70 73 89 100
49	29	15	(3, 5)	MW	2 8 12 37 38 64 72 96 99
50	3	19	(0, 1)	MW	88
