Course	Room	Teacher	Time	Days	Students
1	4	41	(0, 1)	MW	19 23 34 47 90
2	16	27	(8, 10)	MW	6 7 16 23 54 74 76 94
3	2	8	(8, 10)	MW	2 31 36 37 48 73 81 92
4	29	50	(6, 9)	MW	5 8 9
5	30	44	(0, 1)	MWF	24 84
6	37	9	(3, 6)	MW	14 27 43 58 93 99
7	36	17	(4, 5)	MWF	2 29 40 61 63 83 87
8	2	3	(2, 4)	TTH	6 12 14 48 76 79 81 82
9	37	6	(0, 2)	MWF	60 68 94
10	27	35	(0, 2)	MWF	87
11	7	13	(4, 5)	MW	21 45 52 56
12	38	48	(4, 6)	MW	17 31 44 48 60 64 78 91 96 100
13	4	11	(3, 6)	M	15 32 57
14	2	21	(5, 7)	MWF	1 6 16 19 68 77 82 86
15	22	33	(0, 1)	MW	10 28 66 77 100
16	2	22	(0, 1)	MWF	25 32 44 50 65 72 88 99
17	36	7	(8, 10)	MW	10 14
18	2	30	(3, 4)	MWF	18 41 82 92 98
19	33	24	(7, 10)	MW	13 15 24 29 35 39 45 71 99
20	1	32	(2, 5)	T	7 63 66 89
21	1	14	(4, 6)	MWF	11 30 47 62 67
22	2	16	(11, 13)	MW	3 25 33 46 58 59 64 70 75 85 96
23	1	38	(9, 10)	MWF	3 38 41 43 69
24	32	19	(0, 2)	MWF	36 42 45 48 54 79
25	36	29	(6, 7)	MW	10 33 36 42 63 73 84
26	33	31	(0, 1)	MWF	1 8 20 26 46 69 91
27	16	2	(2, 4)	MW	25 75
28	6	36	(0, 2)	MW	37 73 97
29	36	25	(0, 1)	MW	6 9 78 81 83
30	1	18	(0, 1)	TTHF	5 51 58 67 80 83
31	34	26	(2, 3)	MWF	1 8 38 59 80 84 88
32	2	20	(0, 1)	TTH	3 22 27 30 36 53 72 75 89 93 98
33	28	15	(2, 3)	MW	24 30 34 47 64 90 100
34	3	46	(0, 1)	MWF	7 59 96
35	24	10	(0, 3)	MW	3 17 33 39 86
36	5	28	(0, 1)	MWF	14 75
37	35	39	(3, 4)	MWF	71 77 89
38	1	23	(7, 8)	MWF	21 53 78 80 88 95 97
39	34	37	(0, 1)	MWF	4 18 21 35 53 55 63 89
40	3	49	(2, 3)	MWF	20 52 69 70 76 95
41	7	1	(2, 3)	MW	10 13 31 66
42	1	43	(11, 12)	MW	13 40 43 65 87 98
43	1	42	(0, 3)	M	40 56 67
44	31	5	(6, 8)	MW	12 18 26 61
45	38	47	(2, 3)	MWF	2 4 12 21 28 72
46	3	34	(7, 9)	MW	79 90 96
47	39	45	(0, 2)	MW	16 22 57 71 92 98
48	40	12	(0, 2)	MW	11 15 27 29 49 51 61 62 85
49	3	40	(4, 6)	MW	38 49 50 55 59 76 80
50	31	4	(3, 5)	MWF	5 35 42 54 65 74 79 81 85
