Course	Room	Teacher	Time	Days	Students
1	12	40	(8, 10)	MW	22 41 51 91
2	6	3	(8, 11)	MW	19 20 38 45 53 55 71 73 85
3	7	2	(0, 3)	MW	13 64 100
4	11	41	(7, 8)	MWF	37 56 81 87 90
5	12	23	(2, 3)	MW	5 77 85
6	1	9	(0, 1)	TTH	27 36 41 54 62 95
7	18	42	(0, 1)	MWF	2 8 43 75 78 83
8	1	32	(7, 10)	MW	4 9 17 34 65 75 94
9	8	6	(0, 3)	M	1 41 45 63
10	27	17	(5, 8)	MW	6 39 59 88
11	7	47	(9, 10)	MWF	14 28 33 69 74 79 84
12	1	19	(0, 1)	MWF	29 40 61 81 84
13	17	31	(3, 5)	MW	4 20 53 98
14	23	46	(3, 5)	MWF	25 26 37 62
15	28	38	(5, 8)	MW	33 63 96
16	3	26	(2, 3)	MWF	2 29 43 50
17	26	10	(2, 5)	MW	84
18	1	37	(4, 5)	TTHF	8 12 15 16 22 33 50 59 95
19	3	12	(0, 1)	MWF	3 20 65
20	1	50	(6, 8)	TTHF	9 24 28 31 51 52 55 58
21	11	36	(0, 2)	MW	7 27 38 71 90
22	17	44	(0, 2)	MW	4 21 58 79 92
23	11	5	(3, 4)	MW	3 16 17 23 80 96
24	7	35	(2, 4)	TTHF	20 21 44 48 56 87
25	22	30	(5, 7)	MWF	46 60 74
26	4	16	(2, 4)	MW	8 39 72
27	26	28	(0, 1)	MW	14 24 57 99
28	27	27	(0, 1)	MW	16 44 48 67 86 96 97
29	7	45	(4, 6)	MW	7 11 30 40 50
30	24	25	(2, 4)	MWF	6 19 24 83 99
31	16	13	(0, 1)	MWF	10 35 93
32	10	8	(0, 2)	MWF	49 70
33	2	39	(3, 5)	MW	55 81 94
34	9	43	(2, 3)	MW	11 59 61 78 91
35	6	24	(0, 2)	TTHF	38 55 86 91
36	12	21	(0, 1)	MWF	12 18 94
37	5	18	(0, 1)	MWF	36 47 52 54 56
38	29	15	(3, 5)	MWF	27 47 57 70 71 86
39	1	33	(4, 6)	MW	2 31 34 45 61 73 77 82 85 90
40	12	1	(5, 7)	MW	22 35 44 78 89
41	11	4	(5, 6)	MWF	49 65 79 87
42	19	7	(0, 1)	MWF	5 46
43	9	34	(5, 8)	M	3 10 15 23 58 66 93
44	16	22	(5, 6)	MWF	19 54 83 92
45	6	29	(5, 7)	MW	12 13 18 32 42 51 52 64 67 68 76
46	21	14	(0, 2)	MWF	25 33 37 60 69 80
47	6	11	(2, 4)	MW	10 22 35 42 66 67 75 93 97
48	1	49	(9, 11)	TTH	11 15 31 32 40 56 59 62 72 99
49	1	48	(2, 3)	MWF	14 32 68 76 88 95
50	2	20	(0, 2)	MWF	28 30 74 82 89 98
