Course	Room	Teacher	Time	Days	Students
1	13	580	(11, 13)	MW	49
2	13	276	(11, 14)	F	
3	21	147	(3, 5)	MWF	52
6	28	151	(11, 13)	TTH	
8	13	546	(7, 10)	TTH	54 59
9	30	176	(7, 10)	TTH	
13	7	811	(0, 2)	TTHF	79
16	6	83	(3, 4)	TTHF	
18	18	422	(9, 11)	MW	
20	26	353	(7, 8)	MW	8
21	16	213	(7, 8)	TTH	
22	25	454	(2, 5)	T	75
23	9	730	(11, 12)	MWF	33 76
24	18	941	(12, 14)	TTH	
26	20	549	(7, 8)	TTH	
28	5	140	(10, 12)	MWF	66
30	1	418	(11, 14)	T	23
32	22	340	(0, 3)	TTH	77
34	14	408	(10, 11)	TTHF	87
37	2	921	(9, 11)	MW	4 47
45	22	254	(8, 9)	MWF	68
46	1	933	(11, 14)	TH	
48	14	150	(2, 4)	TTH	58 100
51	15	396	(13, 14)	TTH	100
55	10	879	(9, 12)	F	
58	28	362	(7, 8)	TTH	99
64	27	856	(5, 7)	TTH	98
67	28	429	(8, 9)	MWF	88
68	30	572	(6, 7)	MWF	49
69	26	94	(9, 11)	TTHF	31
71	13	499	(4, 6)	TTH	64
74	23	600	(7, 8)	TTHF	50
79	16	297	(9, 10)	TTHF	55 74
84	3	999	(12, 13)	TTHF	47
90	4	668	(8, 10)	TTHF	25 94
92	10	434	(12, 14)	MW	63
94	26	69	(0, 2)	TTHF	23
97	19	228	(5, 7)	TTH	43
98	14	135	(13, 14)	MW	54
102	1	414	(4, 6)	MW	
104	7	888	(9, 11)	TTHF	84
108	20	327	(3, 6)	TTH	41
109	1	191	(0, 3)	MW	
115	24	662	(2, 4)	TTHF	
116	21	166	(0, 3)	TTH	72 83
117	25	904	(10, 11)	TTHF	89
118	17	612	(12, 14)	MW	6
120	30	991	(8, 10)	MWF	
125	23	693	(11, 12)	TTHF	62
134	11	496	(0, 1)	TTH	89
137	27	451	(3, 4)	MWF	59
139	26	273	(7, 8)	TTHF	26
141	30	19	(0, 3)	MW	53
142	19	253	(8, 10)	TTH	45
143	22	948	(6, 7)	MWF	65
146	5	779	(6, 9)	TTH	
150	12	48	(7, 9)	TTH	67
152	5	824	(6, 9)	MW	
158	10	33	(6, 8)	TTH	58 75
160	5	469	(6, 9)	F	
163	11	372	(8, 10)	TTH	62
164	8	299	(4, 7)	M	19
165	2	984	(7, 8)	TTH	11
168	27	70	(12, 14)	TTH	99
169	20	238	(3, 4)	MWF	13 62
171	15	969	(12, 13)	MWF	36
174	25	524	(2, 5)	TH	
177	17	356	(4, 5)	TTHF	15
179	21	690	(10, 13)	TTH	92
183	24	951	(4, 6)	MW	10
184	30	561	(4, 6)	TTH	65
186	21	932	(12, 13)	MWF	70
190	8	681	(0, 1)	MW	85
192	11	545	(11, 13)	MW	56
193	3	579	(10, 13)	MW	
194	24	857	(7, 10)	TTH	27
196	9	256	(6, 9)	WF	95
197	7	536	(3, 6)	TTH	81
199	4	650	(11, 14)	TH	
203	2	670	(11, 14)	F	20
204	9	990	(2, 5)	TTH	46 53
206	14	566	(0, 3)	F	
209	19	269	(0, 2)	MWF	30
211	30	423	(11, 14)	W	
214	29	803	(3, 4)	TTHF	39
223	6	513	(10, 12)	MWF	10
226	6	900	(5, 7)	TTH	39
228	19	97	(3, 4)	TTHF	40
235	3	198	(2, 3)	TTH	37
240	27	683	(11, 13)	MWF	91
