Course	Room	Teacher	Time	Students
1	29	5	0	3 6 8 11 16 17 18 28 30 31 32 33 34 43 51 54 58 59 60 67 69 74 78 79 80 86 93 96 99
2	8	4	4	3 11 12 14 17 19 20 24 26 30 31 36 43 45 46 49 52 53 59 60 62 64 69 75 79 85 86 90 94 97
3	4	8	4	16 18 21 32 33 35 38 44 47 58 63 66 70 71 76 78 82 83 100
4	7	2	7	9 10 12 13 19 24 26 30 41 43 52 59 62 65 67 77 84 85 86 92 94 97
5	30	1	4	4 5 6 8 22 25 27 28 29 34 40 50 54 56 61 72 73 74 80 88 89 93 95 96
6	4	10	8	1 2 3 6 7 31 33 34 39 45 48 51 57 60 63 73 75 78 82 83 88 89 90 91 99
7	26	9	2	2 4 5 14 20 21 24 25 27 35 38 42 44 64 66 70 71 73 75 77 83 84 88 90 92 94 100
8	3	3	8	5 11 15 16 17 21 22 29 32 36 38 42 47 49 50 53 54 55 58 61 66 68 69 76
9	25	7	0	1 2 5 12 13 15 19 21 22 25 26 29 36 37 39 41 42 46 47 49 52 56 57 61 64 71 72 77 82 84 85 89 91 92 95 100
10	3	6	2	1 7 9 10 13 23 37 39 41 48 55 57 65 68 81 87 91 98
