Course	Room	Teacher	Time	Days	Students
1	24	20	(0, 1)	MWF	4 10 16 72 90
2	26	36	(0, 2)	MW	56 59 71 86
3	5	17	(2, 3)	MWF	34 35
4	4	6	(0, 1)	MWF	12 21 47 66 91
5	2	48	(6, 8)	MWF	15 18 32 40 42 63 64 73 77 86
6	5	4	(4, 6)	MW	8 78
7	7	22	(4, 5)	MW	28 51 67
8	13	29	(0, 2)	MW	20 77 99
9	25	12	(0, 1)	MWF	7 17 27 50 87 93
10	6	35	(5, 8)	MW	5 6 20 49 60 94
11	13	39	(3, 5)	MWF	1 46 63 96 99
12	23	9	(0, 1)	MWF	1 30 55 58 68
13	1	25	(10, 13)	M	55 64 69 72 78 84
14	7	34	(6, 9)	M	26 33 53 59 79
15	26	47	(3, 5)	TTH	13 24 26 38 54 74 78 79 99
16	8	43	(2, 4)	MWF	29 45 49 68 74
17	6	3	(0, 2)	MW	6 39 48 97 98 100
18	1	45	(0, 1)	MWF	18 29 33 49
19	24	41	(4, 5)	MWF	2 16 24 37 42 87
20	23	1	(2, 3)	MWF	9 24 28 51 52 73 81 85
21	17	24	(0, 2)	MW	11 22 25 26 38
22	8	7	(0, 1)	MW	3 34 35 36 51 85
23	30	49	(4, 5)	MWF	11 47 52 80 98
24	18	21	(0, 1)	MWF	9 14 23 57 61 79 84
25	2	13	(0, 3)	M	13 32 37 69 75 80 92
26	1	40	(4, 6)	TTH	44 60 95
27	14	28	(6, 7)	MWF	1 29 30 37 41 83 88 92
28	14	27	(0, 1)	MWF	44 53 54 63 82 88 96
29	13	8	(6, 7)	MWF	23 28 55
30	18	37	(6, 9)	M	17 19 24 84 95 100
31	2	32	(4, 5)	MW	4 7 10 26 43 71
32	1	31	(6, 9)	M	46 54 70
33	30	46	(12, 14)	MWF	19
34	8	14	(6, 7)	MW	7 14 48 52 81
35	4	10	(2, 5)	MW	14 21 41 65
36	26	2	(11, 13)	MW	11 14 21 93 95 97
37	17	30	(9, 12)	M	5 8
38	26	50	(4, 5)	MWF	25 53 69 75 81 89 90 92
39	14	11	(2, 5)	MW	17 19 27 31 36 50 57 62 64 66
40	1	26	(2, 4)	MW	3 70
41	25	19	(2, 4)	MW	15 40 58 60 76 94
42	3	44	(6, 9)	M	38 45 66 67
43	7	16	(0, 2)	MWF	43
44	3	42	(2, 5)	M	44 82 88 93
45	2	18	(9, 10)	MWF	6 25 31 60 68 71 83
46	30	33	(6, 8)	MWF	2 31 35 50 51 62 74 76
47	26	15	(6, 8)	MW	3 16 43 47 56 65 72
48	2	5	(11, 13)	MWF	9 16 18 39 62 76 83
49	30	23	(9, 11)	MW	7 12 20 22 32 61 77 80 89 91 94
50	26	38	(9, 10)	MWF	2 27 34 39
