Course	Room	Teacher	Time	Days	Students
1	10	21	(0, 2)	MW	18 22 58 63
2	3	49	(7, 8)	MW	10 19 37 59 71 72 75
3	8	27	(7, 8)	MW	12 17 27 48 65 66
4	3	12	(0, 2)	MWF	7 20 28 31 37 39 43
5	13	29	(0, 1)	MW	15 54 66
6	20	22	(0, 3)	MW	1 8 48 53
7	12	35	(3, 4)	MWF	7 22 36 56
8	25	10	(0, 2)	MWF	30 34 35
9	27	15	(0, 1)	MWF	13 16
10	26	8	(0, 3)	MW	5 9 29
11	5	24	(3, 6)	MW	72
12	4	4	(0, 3)	MW	
13	7	48	(4, 5)	MW	8 26 37 53
14	7	17	(6, 7)	MWF	45 54 55 62
15	29	9	(0, 1)	MWF	11 38 72 74
16	22	25	(0, 2)	MW	6 36 49 71 73
17	8	14	(5, 6)	MWF	6 28 31 58 61 63 73
18	23	42	(0, 2)	MWF	24 32 65 70
19	1	28	(0, 1)	MW	3 41 47
20	30	33	(0, 2)	MWF	25 50 57 69
21	10	1	(3, 4)	MWF	35 40 71
22	20	6	(9, 12)	MW	25 29 33 38 39 41 60 61
23	12	37	(0, 1)	MWF	26 33 40
24	6	11	(0, 3)	MW	68
25	24	16	(2, 4)	MW	13 45
26	15	39	(2, 3)	MWF	38 59
27	7	3	(0, 3)	M	4 42
28	1	19	(5, 6)	MW	12 17 60
29	15	5	(0, 1)	MW	14 44 61
30	21	31	(3, 4)	MW	19 24 73
31	21	30	(5, 6)	MW	21
32	16	45	(0, 2)	MWF	10 21 23 46
33	30	20	(6, 8)	MWF	40 52
34	1	47	(8, 11)	TTH	7 16 21 29 49 63 72
35	11	7	(0, 2)	MW	27 51 56
36	24	46	(0, 1)	MW	2
37	11	23	(4, 6)	MW	66
38	1	50	(5, 7)	TTHF	13 18 25 32
39	16	26	(3, 5)	MW	14 27 44
40	30	43	(4, 5)	MWF	4 33 42
41	14	44	(7, 9)	MWF	15 23 44 69
42	23	18	(3, 5)	MWF	39 43 67
43	30	40	(9, 11)	MW	47 64 73
44	13	41	(3, 5)	MWF	51 64 65 69
45	14	32	(4, 6)	MWF	1 5 9 10 23 75
46	22	36	(5, 8)	M	3 25 46 49 57 70 74
47	1	34	(2, 4)	MWF	2 3 12 15 55 62
48	8	13	(3, 4)	MW	11 20 28 32 34 41 47
49	2	2	(0, 1)	MW	17 59
50	1	38	(9, 12)	MW	7 12 27 30 51
