Course	Room	Teacher	Time	Days	Students
1	7	13	(0, 3)	M	3 6 9 42 63 97
2	16	32	(2, 4)	MW	47 71
3	12	49	(7, 10)	MW	46 51 71
4	16	38	(0, 1)	MWF	1 2 5 15 29 52 74 84
5	18	23	(5, 8)	MW	3 27 30 44 81 94
6	18	37	(5, 7)	TTHF	8 18 26 53 55 85
7	18	27	(11, 13)	MW	3 28 42 61 66
8	1	42	(12, 14)	MW	7 15 40 46 47 57
9	12	43	(10, 13)	TTH	21 66 69 73 78 80
10	1	35	(4, 6)	MW	5 6 25 28 36 38 53 55 58 62 74 80
11	12	20	(7, 9)	TTHF	20 21 22 33
12	12	34	(2, 3)	MWF	29 49 58 78 99
13	7	1	(0, 1)	TTH	80
14	12	15	(11, 12)	MWF	8 48 65 85 94
15	12	14	(0, 1)	MWF	17 43 48 61 62 65 71 73 95
16	1	48	(7, 9)	MW	1 6 8 10 42 45 55 74 97
17	17	33	(3, 4)	MWF	13 19 61 82 96
18	2	29	(3, 4)	MWF	35 59 69 75 79
19	7	50	(4, 6)	MW	11 45 46 48 76 84 87 90
20	12	11	(0, 3)	TTH	19 34 90
21	5	45	(0, 2)	MW	10 31 37 44 81 92
22	6	39	(5, 7)	TTHF	3 43 64 82
23	18	5	(0, 3)	TTH	11 20 100
24	18	41	(0, 1)	MWF	21 22 26 36 53 89
25	6	26	(9, 12)	MW	13 80
26	6	25	(5, 8)	MW	2 14 18 20 33 72 75 78 83
27	18	7	(9, 10)	MWF	23 54 67 93 99
28	2	30	(5, 7)	MWF	34 52 70
29	1	18	(2, 3)	MWF	2 8 12 15 16 68 77
30	2	28	(9, 12)	MW	18 30 44 84 100
31	15	40	(5, 7)	MW	9 26 32 59 60 77
32	16	2	(7, 9)	MW	11 29 39 49 56 65 76 82 92
33	17	17	(8, 10)	MW	4 34 41 66 96
34	12	12	(13, 14)	MWF	23 30 59 76 81 87 91 93 96
35	2	10	(0, 2)	TTH	4 27 57 74 82 97
36	1	46	(7, 9)	TTHF	4 25 47 58 68 86 89 94
37	18	6	(2, 4)	MWF	1 23 52 64
38	17	4	(0, 2)	MW	7 39 51 56
39	6	22	(2, 4)	MWF	33 40 57 60 83
40	15	31	(2, 4)	MW	22 24 32 89
41	18	24	(8, 10)	TTH	28 50 52 57 61 63 70 79
42	1	8	(10, 11)	MWF	10 12 17 35 37 59 60 62 69 73 83 86
43	13	9	(0, 3)	MW	45 91
44	2	47	(8, 10)	TTHF	7 11 19 40 88 90
45	5	21	(3, 4)	MWF	18 26 27 43 54 56 72 86
46	1	36	(0, 3)	TTH	13 14 17 32 49 50 51 67 68 71 76 84 98
47	2	44	(0, 2)	MWF	14 20 50 75
48	2	16	(13, 14)	MWF	10 24 31 41 64 68 95
49	12	3	(4, 6)	MWF	16 29 88 93 99
50	7	19	(7, 8)	MWF	31 37 38 48 54 67 93 95 98
