case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,200,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0416,0.0223,125,0.6875,valid
rooms_20,201,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0411,0.0210,102,0.745,valid
rooms_40,202,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0399,0.0241,143,0.6425,valid
class_times_12,203,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0425,0.0217,149,0.6275,valid
class_times_18,204,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0410,0.0213,149,0.6275,valid
students_75,205,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0431,0.0203,115,0.6167,valid
students_150,206,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0422,0.0225,148,0.7533,valid
capacity_tight,207,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0407,0.0208,132,0.67,valid
capacity_large,208,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0407,0.0213,132,0.67,valid
hours_more_short,209,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0421,0.0213,93,0.7675,valid
hours_more_long,210,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0414,0.0211,133,0.6675,valid
