case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,300,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0443,0.0211,134,0.665,valid
rooms_20,301,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0425,0.0207,105,0.7375,valid
rooms_40,302,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0434,0.0209,117,0.7075,valid
class_times_12,303,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0424,0.0214,122,0.695,valid
class_times_18,304,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0436,0.0214,126,0.685,valid
students_75,305,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0429,0.0242,104,0.6533,valid
students_150,306,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0439,0.0219,191,0.6817,valid
capacity_tight,307,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0433,0.0209,94,0.765,valid
capacity_large,308,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0428,0.0208,127,0.6825,valid
hours_more_short,309,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0439,0.0208,150,0.625,valid
hours_more_long,310,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0426,0.0209,130,0.675,valid
