Course	Room	Teacher	Time	Days	Students
1	27	50	(0, 2)	MW	21 40 52 58 59 69 75
2	2	8	(9, 10)	MWF	36 65
3	2	14	(0, 2)	TTH	27 30 57
4	7	12	(0, 1)	MWF	14 15
5	26	6	(0, 2)	MW	2 31 33 63 72
6	26	5	(7, 8)	MWF	15 18 36 44 45 52 54 65 74
7	16	39	(0, 2)	MWF	9
8	1	2	(12, 13)	MWF	3 12 29 34 57 59 69
9	8	49	(9, 11)	MW	6 25 29 44 60 71
10	20	41	(0, 2)	MWF	8 50 55
11	13	31	(8, 10)	MWF	27 35 39 40 50
12	6	4	(0, 1)	MWF	4 41 57 71
13	12	34	(3, 4)	MWF	13 17 40 49 55 74
14	1	3	(0, 2)	MW	7 16 17 24 51 56
15	17	20	(3, 5)	MW	14 36 42
16	12	18	(0, 2)	MW	5 11 22 29 42
17	3	42	(0, 2)	MW	12 49 66 74
18	12	16	(10, 12)	MW	24 37 52 58
19	2	36	(0, 3)	MW	60
20	16	15	(3, 4)	MWF	47
21	2	45	(11, 12)	MWF	61
22	8	33	(0, 3)	TTH	5 34
23	8	35	(3, 5)	MW	23
24	10	47	(4, 6)	MW	5 19 25 58
25	30	27	(0, 3)	M	1 30 32 44
26	30	38	(6, 7)	MWF	13 17 47 56
27	30	25	(8, 9)	MW	34 63 75
28	4	48	(3, 4)	MW	63 68
29	26	46	(5, 6)	MWF	1 60 66
30	13	40	(0, 3)	MW	19 20 39 65
31	13	11	(4, 7)	MW	16 26 30 46 51
32	18	37	(0, 2)	MW	10 46 64 70 73
33	8	22	(12, 14)	MWF	53 66
34	12	13	(5, 7)	MW	24 63 75
35	8	23	(0, 2)	MW	13 43 45 47 48 61
36	1	19	(3, 6)	MW	3 18 27 62
37	17	32	(0, 2)	MW	25 28 35 62
38	30	26	(4, 5)	MWF	11 29 37 61 67 71
39	18	7	(6, 9)	MW	21 28 41 42 53 55 70
40	13	30	(11, 13)	MWF	13 16 23 32 38 41 43 67
41	19	10	(0, 2)	MWF	6 26 38 54
42	5	17	(6, 7)	MWF	4 10 22 73
43	1	44	(7, 9)	MWF	2 12
44	2	43	(4, 7)	MW	7 34 57
45	1	21	(10, 11)	MWF	7 15 19 54 62 73
46	26	29	(3, 4)	MWF	10 33 43 56 70
47	10	24	(7, 8)	MWF	1 33 68 72
48	5	28	(4, 5)	MW	6 9 20 28 31 35 39 45 64 72
49	8	9	(6, 8)	MW	6 8 14 49 64 67
50	29	1	(3, 5)	MW	2 48 69
