Course	Room	Teacher	Time	Days	Students
1	2	19	(3, 5)	MW	2 43 59 60 66 82 88 99
2	9	16	(2, 5)	M	9 12 27 48 100
3	4	39	(3, 4)	MWF	25 30 44 95
4	1	10	(7, 8)	MWF	39 40 42 57 69
5	1	49	(0, 2)	MW	6 33 37 46 71 90
6	16	38	(7, 10)	MW	7 15 32 48 60 61 68 80 86 88
7	24	50	(0, 2)	MWF	3 36 70 79
8	29	26	(3, 6)	MW	4 6 46 78
9	3	32	(0, 2)	MWF	7 28 31 85
10	1	4	(5, 6)	MWF	1 13 14 62 73 89
11	1	14	(5, 7)	TTH	22 36 56 67 77 79
12	2	31	(2, 4)	TTH	3 17 33 38 42 49 81 91 92 95
13	8	30	(3, 5)	MWF	81
14	2	11	(0, 1)	TTHF	15 17 22 29 35 48 51 52 65
15	6	45	(0, 1)	MWF	34 54
16	9	2	(0, 1)	MW	2 10 51 72 88 91
17	29	34	(8, 11)	TTH	9 41 47 51 58 63 89
18	16	27	(0, 1)	MWF	16 25 39 42 96 97
19	2	1	(8, 10)	MW	21 24 35 58 66 75 76 91
20	8	33	(0, 2)	MW	32 57 84
21	17	48	(0, 2)	MW	13 21 40 83
22	22	40	(0, 2)	MWF	11 30 61 69 86
23	16	42	(2, 4)	MWF	18 20 22 24 34 52 55 67 98
24	9	37	(8, 9)	MWF	4 20 79 93 95
25	29	46	(0, 2)	MW	49 58
26	29	8	(7, 10)	MW	8 19 26 55
27	16	18	(5, 6)	MWF	5 44 53 63 98
28	1	41	(9, 10)	MWF	17 31 43 82
29	20	47	(3, 5)	MW	10 19 45 71 87
30	7	13	(0, 3)	MW	77 80
31	2	12	(6, 7)	MWF	18 28 30 66 81
32	4	9	(5, 8)	MW	3 47 65
33	7	20	(7, 8)	MWF	9 23 34 37 43 50 64 83
34	29	17	(0, 3)	TTH	1 58 66 72 76 79 86 94 100
35	28	44	(3, 5)	MWF	26 64 93
36	30	43	(5, 6)	MWF	42 49 50 61 83
37	7	24	(4, 6)	MW	38 70 77 97
38	17	6	(6, 9)	TTH	13 27 45 50 61 75
39	3	3	(5, 6)	MWF	17 33 36 37 68 85
40	21	22	(5, 7)	MWF	16 20 25 52 54 91
41	2	28	(0, 2)	MW	8 14 19 26 29 44 53 73 89 95
42	17	23	(6, 8)	MWF	11 27 29 41 74
43	30	36	(0, 1)	MWF	5 9 56 64 68 82 100
44	27	35	(3, 5)	MWF	23 29 32 90 92 96
45	5	15	(0, 2)	MW	1 59 60 62 74 78 92 99
46	29	25	(6, 7)	TTHF	2 31 71 97 99
47	23	29	(0, 1)	MWF	12 38 43 67 75 76 87 93 98
48	17	21	(3, 4)	MWF	54 56 94
49	1	5	(3, 4)	MWF	1 7 8 21 31 35 47 72
50	24	7	(3, 5)	MWF	28 57 84
