Course	Room	Teacher	Time	Days	Students
1	15	31	(7, 10)	M	12 23 25 41 65
2	4	43	(0, 1)	MWF	51 54 57 70 76 86 97
3	21	9	(7, 8)	MWF	20 51
4	1	8	(3, 5)	TTHF	6 21 42 69 98
5	26	47	(0, 2)	MWF	7 12 30
6	2	44	(3, 4)	MWF	56 68 100
7	18	48	(0, 3)	M	11 32 34 61
8	1	4	(0, 2)	MWF	18 42 56 78 80
9	21	3	(0, 1)	MWF	1 25 29 58
10	6	45	(3, 4)	MWF	16 26 36 53 58 65 67
11	13	36	(2, 4)	MWF	72 86 93
12	28	22	(3, 6)	MW	5 23 44 76 82 85
13	1	33	(7, 10)	TTH	55 60 65 76 85
14	1	24	(10, 12)	MW	1 16 27 32 47 54 86 97 99
15	25	21	(2, 4)	MW	37 43 64 88 91 94 98
16	1	30	(3, 5)	MW	1 4 9 24 46 57 66 96
17	22	40	(0, 1)	MWF	2 33 35 40 49 62 94 95
18	27	50	(11, 12)	MWF	15 20 24 48 66 74 89
19	14	32	(0, 1)	MWF	72 82 99
20	18	41	(4, 7)	TTH	5 30 54 81 89
21	25	15	(0, 1)	MWF	9 22 44 50 64 69 88 89
22	27	12	(2, 4)	MWF	2 8 19 31 35 84
23	8	39	(0, 1)	MWF	5 13 21 36 85 93
24	1	14	(0, 2)	TTH	8 16 26 27 52 62
25	21	46	(9, 11)	MWF	17 56 60 82 83
26	28	27	(7, 8)	MW	9 85 95
27	27	26	(5, 8)	M	3 38 42 43 50 56 69 74 99
28	28	37	(0, 2)	MWF	14 15 27 46 48 63 92
29	7	34	(0, 2)	MW	6 20 28 67 77
30	1	16	(6, 7)	MWF	6 93
31	16	1	(4, 7)	M	11 17 34 39 70 75 87
32	1	19	(8, 9)	MWF	8 22 33 37 48 68 88 92
33	1	13	(11, 13)	TTHF	2 22 28 45 71 79
34	7	29	(3, 4)	MWF	28 38 90 95
35	18	38	(8, 10)	MW	24 59
36	11	11	(2, 5)	MW	45 79 83
37	28	28	(9, 11)	MWF	31 38 52 53 64
38	18	35	(5, 7)	MW	2 7 16 53 61 84 90
39	9	23	(0, 1)	MWF	38 43 47 96
40	22	17	(6, 8)	MW	4 14 31 32 46 49 80 96
41	18	20	(11, 14)	MW	28 39 40 67 69 75 80 98
42	10	49	(0, 2)	MW	73
43	5	2	(0, 1)	MWF	41 55 79 81 83
44	2	6	(0, 2)	MW	3 10 39 60 71 87
45	3	10	(5, 7)	MW	8 15 19 33 35 37 47 60 72 77 78 98
46	21	25	(3, 6)	MW	13 18
47	26	5	(3, 5)	MWF	14 27 41 92 97
48	18	7	(0, 1)	TTH	23 70 91
49	12	42	(0, 2)	MW	52 59 100
50	27	18	(9, 10)	MWF	3 4 44 50 61 62 63 67 71 77 84
