Course	Room	Teacher	Time	Days	Students
1	2	27	(9, 12)	M	14 28 47 67 74 98
2	14	41	(5, 8)	M	53 68 98
3	24	50	(0, 3)	M	13 31
4	11	12	(3, 6)	M	6 25 84
5	4	33	(0, 2)	MWF	20 97 99
6	13	38	(5, 8)	MW	2 5 7 67 85 91
7	17	28	(0, 2)	MW	1 15 27 32 59 73 94
8	9	40	(0, 2)	MWF	7 28 50 58 98
9	7	49	(0, 1)	MW	4 11 33 57 72 85
10	30	48	(5, 8)	M	1 39 58 79 87 92
11	2	22	(3, 4)	MW	7 82 96
12	11	4	(0, 1)	MW	6 36 38 44 55 78
13	25	43	(0, 2)	MW	25 30 35 40
14	28	44	(4, 6)	MW	27 44 77
15	10	35	(0, 2)	MWF	12 23 29 54
16	22	31	(2, 3)	MWF	22 26 62 80 86
17	28	42	(7, 9)	MW	41 59 60 64
18	21	25	(0, 3)	M	19 61
19	16	23	(0, 1)	MW	46 69
20	8	32	(0, 1)	MW	56 64 66 82
21	29	39	(5, 6)	MW	22 63 69
22	1	11	(8, 11)	M	17 20 24 31 77 100
23	17	19	(3, 4)	MW	8 47 65 75 99
24	1	37	(3, 4)	MWF	30 35 37 69 89 91
25	23	18	(2, 5)	M	4 18 33 42 95
26	1	30	(5, 6)	MW	20 21 52 80 86 100
27	2	1	(5, 6)	MW	32 35 71 82 90
28	16	7	(2, 4)	MW	43 92
29	20	34	(2, 3)	MWF	14 81
30	2	26	(0, 1)	MW	8 41 70 75
31	23	16	(6, 8)	MW	8 14 15 18 28 29 43 65 93
32	7	20	(4, 7)	M	26 31 62 88
33	3	5	(0, 3)	MW	2 24 87 88
34	20	29	(0, 1)	MWF	3 5 51 62 74 76 96
35	10	15	(4, 7)	MW	17 24 40 49 50 61
36	25	46	(5, 7)	MW	34 55 73
37	1	24	(0, 1)	MWF	16 22 26 47 53 60 91 92
38	12	6	(0, 2)	MWF	9 48 49 68
39	30	21	(0, 1)	MW	37 42 63 65 71 79 80 84 95
40	8	8	(4, 6)	MWF	3 41 51 78
41	14	2	(3, 4)	MW	28 32 38 52
42	30	17	(2, 3)	MWF	34 51 53 57 70 100
43	25	13	(3, 4)	MWF	11 54 72 90
44	30	14	(9, 10)	MWF	9 23 33 39 45 57 79 90 97
45	29	47	(3, 4)	MW	5 12 23 45 76
46	24	36	(4, 5)	MWF	9 16 56 59 60 70 81 83 94
47	28	45	(2, 3)	MW	10 77 85
48	29	10	(9, 12)	M	8 30 43 62 72 84 96
49	9	9	(3, 4)	MW	1 21 29 36 39 46 48 71 73 74
50	24	3	(6, 9)	M	13 19 36 66 83 89 95
