Course	Room	Teacher	Time	Days	Students
1	10	34	(0, 2)	MWF	8 10 26 31 32 70 85
2	14	10	(3, 5)	MW	6 9 20 24 39 60 85 94
3	1	16	(10, 12)	TTHF	12 13 22 74 81
4	6	35	(0, 3)	MW	7 16 18 84 92
5	25	49	(0, 3)	MW	50 51 88 96
6	4	23	(0, 3)	MW	21 28 40 42 56 67
7	1	26	(4, 6)	MWF	48 51 79 96
8	1	27	(0, 3)	MW	3 13 91
9	1	20	(10, 11)	MW	11 13 14 29 37 63 65 66 87 91
10	14	2	(8, 9)	MWF	15 23 28 45 90 95 98
11	1	38	(12, 14)	MW	15 18 25 34 58 63 89 90
12	14	45	(0, 2)	MW	45 52 69 80
13	18	28	(0, 2)	MWF	5 6 49 95 97
14	9	50	(4, 5)	MW	2 47 59 69 76 93 98
15	14	30	(6, 7)	MWF	9 54 58 65 88 94
16	1	3	(7, 9)	MWF	1 6 39 64 66 69 81 82 86 99
17	9	47	(0, 3)	M	33 46 47 65
18	13	25	(9, 12)	MW	22 43 57 68 84 88
19	19	42	(0, 2)	MWF	34 54 81 89
20	1	9	(0, 3)	T	10 21 23 35 41 46 51 58 59 70 74 87 93 94 99
21	28	31	(10, 12)	MWF	7 44 64
22	24	43	(0, 2)	MWF	17 24 38 68 98 99
23	5	6	(3, 6)	MW	5 31 36 37 99
24	30	46	(7, 8)	MWF	7 11 24 47 57 61 76 77 87
25	13	18	(0, 2)	MWF	9 30 75
26	2	7	(0, 3)	MW	15 35 48 61 73 79 100
27	1	8	(4, 7)	TTH	8 31 42 50 56 59 71 74 83 86
28	19	13	(9, 12)	MW	17 33 38 71 73 92 93
29	22	41	(3, 4)	MWF	27 71 78
30	14	15	(10, 11)	MWF	19 27 42 54 83
31	30	21	(3, 6)	MW	19 64 82
32	28	39	(6, 9)	MW	8 44 55 97
33	6	48	(4, 5)	MWF	58 72 100
34	8	1	(0, 2)	MWF	4 20 37 78 83
35	7	4	(0, 2)	MWF	39 41 44 66
36	11	40	(4, 6)	MWF	3 33 53 80
37	18	44	(7, 10)	MW	36 40 62
38	3	11	(0, 2)	MW	27 55 74 90
39	29	32	(4, 7)	MW	21 41 70 89
40	12	36	(4, 7)	MW	16 42 43 49 95
41	22	29	(0, 2)	MW	1 11 53 94
42	18	19	(3, 6)	MW	4 14 23 57 66 77
43	23	22	(0, 3)	MW	2
44	19	37	(6, 8)	MWF	2 12 20 22 60 73 75
45	14	12	(12, 14)	MW	32 35 49 54 78 87
46	29	24	(0, 2)	MW	12 25 29 62 63 72
47	10	17	(3, 6)	M	10 25 52 86
48	7	33	(3, 5)	MW	17 30 55 62 75 81 97
49	26	5	(0, 2)	MWF	22 64
50	8	14	(3, 4)	MW	26 32
