Course	Room	Teacher	Time	Students
1	10	14	4	11 33 61 87 102 124 136 140 162 170 174 175 178 193 201 202 224 256 285 302 316 327 330 366 372 389 401 409 437 439 463 497 506 514 515 516 517 536 543 563 579 595 616 618 621 645 667 693 717 725 728 780 781 782 783 818 847 855 891 899 900 923 926 945 987 
2	4	9	3	6 16 18 22 36 44 47 94 98 100 108 119 147 169 196 197 201 210 211 220 249 258 278 280 284 306 342 346 356 359 367 378 401 407 422 453 461 490 493 514 549 564 567 570 577 578 600 675 761 773 778 821 853 869 873 883 888 895 969 978 980 982 
3	10	3	1	26 27 33 57 71 87 89 103 104 109 145 194 209 214 219 243 257 261 272 274 286 291 340 348 375 434 473 475 477 492 500 501 502 515 522 535 545 557 595 606 608 636 670 678 680 684 688 700 708 710 747 759 793 794 816 833 857 860 876 883 899 900 907 909 910 916 934 979 996 
4	8	10	1	1 23 29 46 73 88 93 100 143 148 168 180 210 223 237 247 255 273 277 287 299 322 330 355 368 370 380 404 450 465 470 489 499 507 514 516 523 533 536 539 554 556 558 565 611 622 635 640 641 657 679 683 696 701 720 726 737 754 757 761 790 813 826 855 869 956 967 977 
5	4	1	1	13 38 62 66 155 157 207 213 224 226 250 271 279 284 292 317 339 349 379 394 411 437 441 459 490 505 525 548 551 574 577 594 597 651 724 748 756 758 769 806 822 832 836 837 888 920 921 973 980 984 991 999 
6	6	9	1	8 18 39 42 45 50 53 70 83 96 122 159 169 178 188 246 275 288 333 347 353 360 382 396 443 478 479 482 484 527 568 571 579 580 590 592 604 656 677 709 712 715 743 760 780 781 798 800 809 814 835 840 842 852 856 902 940 968 
7	6	17	5	12 37 62 66 90 133 156 177 193 248 259 325 351 360 374 402 446 456 470 475 482 493 495 539 556 574 629 682 700 709 721 725 726 764 796 804 815 846 851 853 876 895 969 970 971 975 986 
8	4	12	2	45 47 50 61 87 106 110 131 165 171 172 214 217 230 238 251 252 300 304 305 320 347 365 380 388 471 480 485 495 501 523 539 551 560 573 612 631 632 640 663 686 739 750 760 766 795 802 815 827 833 834 839 844 846 847 901 929 930 953 954 958 970 
9	8	10	2	7 15 29 41 56 91 92 126 160 173 178 187 188 190 211 225 239 257 260 324 336 353 363 369 395 406 418 425 428 453 490 508 532 550 556 576 584 610 638 668 671 683 692 704 714 727 728 740 742 751 752 771 779 783 854 866 869 884 889 902 905 908 917 940 967 968 977 978 979 989 
10	1	20	2	14 17 39 43 90 121 135 148 167 218 219 221 227 228 234 237 255 280 295 367 429 466 468 483 509 517 518 563 572 575 595 611 617 634 659 666 670 695 696 699 701 711 730 785 790 818 823 825 829 852 863 897 903 946 982 990 994 
11	5	11	3	34 60 102 106 113 114 117 148 162 218 223 282 291 301 393 421 428 432 457 464 474 477 486 499 511 513 537 554 585 588 596 612 627 631 633 634 641 696 707 709 715 732 733 744 766 776 787 793 797 806 816 830 844 863 867 881 892 927 946 970 
12	7	19	5	5 16 48 60 79 81 87 88 103 111 127 146 151 160 197 223 270 318 319 343 410 445 467 480 506 510 531 546 572 588 593 672 674 678 686 697 704 717 720 722 775 784 786 797 798 803 821 823 827 839 840 871 886 913 931 957 991 998 
13	2	1	3	26 31 43 72 80 104 144 192 209 212 228 251 288 289 304 316 333 339 353 405 419 441 455 521 535 552 619 626 636 640 664 687 702 716 718 724 729 735 765 770 795 803 838 839 857 859 880 884 912 928 939 948 979 
14	9	5	1	9 34 72 106 119 153 172 177 215 227 236 252 256 264 269 325 354 361 362 381 386 388 417 431 433 451 487 496 518 532 537 555 560 563 567 581 591 603 607 615 619 620 632 638 643 719 731 741 771 774 778 779 782 789 796 799 812 815 823 830 831 847 849 851 881 886 891 896 929 942 952 958 987 998 
15	8	7	3	10 15 23 27 38 63 66 115 120 136 139 163 181 190 199 235 236 241 256 261 264 287 290 338 348 363 391 396 413 424 435 446 476 489 497 527 529 541 546 555 562 568 573 582 597 624 629 630 722 746 777 780 785 802 815 845 878 896 913 916 920 949 965 984 999 
16	7	3	2	4 19 37 48 105 141 152 159 170 213 222 226 240 243 244 284 285 310 331 370 409 426 460 474 506 538 542 545 548 570 577 592 597 598 654 687 689 698 723 735 759 763 768 775 776 859 862 868 934 938 945 955 960 966 
